data,valor,ano,mes,serie,codigo_serie,fonte
2018-01-01,0.29,2018,1,ipca,433,BCB/SGS
2018-02-01,0.32,2018,2,ipca,433,BCB/SGS
2018-03-01,0.09,2018,3,ipca,433,BCB/SGS
2018-04-01,0.22,2018,4,ipca,433,BCB/SGS
2018-05-01,0.4,2018,5,ipca,433,BCB/SGS
2018-06-01,1.26,2018,6,ipca,433,BCB/SGS
2018-07-01,0.33,2018,7,ipca,433,BCB/SGS
2018-08-01,-0.09,2018,8,ipca,433,BCB/SGS
2018-09-01,0.48,2018,9,ipca,433,BCB/SGS
2018-10-01,0.45,2018,10,ipca,433,BCB/SGS
2018-11-01,-0.21,2018,11,ipca,433,BCB/SGS
2018-12-01,0.15,2018,12,ipca,433,BCB/SGS
2019-01-01,0.32,2019,1,ipca,433,BCB/SGS
2019-02-01,0.43,2019,2,ipca,433,BCB/SGS
2019-03-01,0.75,2019,3,ipca,433,BCB/SGS
2019-04-01,0.57,2019,4,ipca,433,BCB/SGS
2019-05-01,0.13,2019,5,ipca,433,BCB/SGS
2019-06-01,0.01,2019,6,ipca,433,BCB/SGS
2019-07-01,0.19,2019,7,ipca,433,BCB/SGS
2019-08-01,0.11,2019,8,ipca,433,BCB/SGS
2019-09-01,-0.04,2019,9,ipca,433,BCB/SGS
2019-10-01,0.1,2019,10,ipca,433,BCB/SGS
2019-11-01,0.51,2019,11,ipca,433,BCB/SGS
2019-12-01,1.15,2019,12,ipca,433,BCB/SGS
2020-01-01,0.21,2020,1,ipca,433,BCB/SGS
2020-02-01,0.25,2020,2,ipca,433,BCB/SGS
2020-03-01,0.07,2020,3,ipca,433,BCB/SGS
2020-04-01,-0.31,2020,4,ipca,433,BCB/SGS
2020-05-01,-0.38,2020,5,ipca,433,BCB/SGS
2020-06-01,0.26,2020,6,ipca,433,BCB/SGS
2020-07-01,0.36,2020,7,ipca,433,BCB/SGS
2020-08-01,0.24,2020,8,ipca,433,BCB/SGS
2020-09-01,0.64,2020,9,ipca,433,BCB/SGS
2020-10-01,0.86,2020,10,ipca,433,BCB/SGS
2020-11-01,0.89,2020,11,ipca,433,BCB/SGS
2020-12-01,1.35,2020,12,ipca,433,BCB/SGS
2021-01-01,0.25,2021,1,ipca,433,BCB/SGS
2021-02-01,0.86,2021,2,ipca,433,BCB/SGS
2021-03-01,0.93,2021,3,ipca,433,BCB/SGS
2021-04-01,0.31,2021,4,ipca,433,BCB/SGS
2021-05-01,0.83,2021,5,ipca,433,BCB/SGS
2021-06-01,0.53,2021,6,ipca,433,BCB/SGS
2021-07-01,0.96,2021,7,ipca,433,BCB/SGS
2021-08-01,0.87,2021,8,ipca,433,BCB/SGS
2021-09-01,1.16,2021,9,ipca,433,BCB/SGS
2021-10-01,1.25,2021,10,ipca,433,BCB/SGS
2021-11-01,0.95,2021,11,ipca,433,BCB/SGS
2021-12-01,0.73,2021,12,ipca,433,BCB/SGS
2022-01-01,0.54,2022,1,ipca,433,BCB/SGS
2022-02-01,1.01,2022,2,ipca,433,BCB/SGS
2022-03-01,1.62,2022,3,ipca,433,BCB/SGS
2022-04-01,1.06,2022,4,ipca,433,BCB/SGS
2022-05-01,0.47,2022,5,ipca,433,BCB/SGS
2022-06-01,0.67,2022,6,ipca,433,BCB/SGS
2022-07-01,-0.68,2022,7,ipca,433,BCB/SGS
2022-08-01,-0.36,2022,8,ipca,433,BCB/SGS
2022-09-01,-0.29,2022,9,ipca,433,BCB/SGS
2022-10-01,0.59,2022,10,ipca,433,BCB/SGS
2022-11-01,0.41,2022,11,ipca,433,BCB/SGS
2022-12-01,0.62,2022,12,ipca,433,BCB/SGS
2023-01-01,0.53,2023,1,ipca,433,BCB/SGS
2023-02-01,0.84,2023,2,ipca,433,BCB/SGS
2023-03-01,0.71,2023,3,ipca,433,BCB/SGS
2023-04-01,0.61,2023,4,ipca,433,BCB/SGS
2023-05-01,0.23,2023,5,ipca,433,BCB/SGS
2023-06-01,-0.08,2023,6,ipca,433,BCB/SGS
2023-07-01,0.12,2023,7,ipca,433,BCB/SGS
2023-08-01,0.23,2023,8,ipca,433,BCB/SGS
2023-09-01,0.26,2023,9,ipca,433,BCB/SGS
2023-10-01,0.24,2023,10,ipca,433,BCB/SGS
2023-11-01,0.28,2023,11,ipca,433,BCB/SGS
2023-12-01,0.56,2023,12,ipca,433,BCB/SGS
2024-01-01,0.42,2024,1,ipca,433,BCB/SGS
2024-02-01,0.83,2024,2,ipca,433,BCB/SGS
2024-03-01,0.16,2024,3,ipca,433,BCB/SGS
2024-04-01,0.38,2024,4,ipca,433,BCB/SGS
2024-05-01,0.46,2024,5,ipca,433,BCB/SGS
2024-06-01,0.21,2024,6,ipca,433,BCB/SGS
2024-07-01,0.38,2024,7,ipca,433,BCB/SGS
2024-08-01,-0.02,2024,8,ipca,433,BCB/SGS
2024-09-01,0.44,2024,9,ipca,433,BCB/SGS
2024-10-01,0.56,2024,10,ipca,433,BCB/SGS
2024-11-01,0.39,2024,11,ipca,433,BCB/SGS
2024-12-01,0.52,2024,12,ipca,433,BCB/SGS
2018-01-01,0.58,2018,1,cdi,4391,BCB/SGS
2018-02-01,0.46,2018,2,cdi,4391,BCB/SGS
2018-03-01,0.53,2018,3,cdi,4391,BCB/SGS
2018-04-01,0.52,2018,4,cdi,4391,BCB/SGS
2018-05-01,0.52,2018,5,cdi,4391,BCB/SGS
