indicador,pais,ano,valor
SI.POV.DDAY,ARG,2024,1.0
SI.POV.DDAY,ARG,2023,1.2
SI.POV.DDAY,ARG,2022,1.3
SI.POV.DDAY,ARG,2021,1.4
SI.POV.DDAY,ARG,2020,2.2
SI.POV.DDAY,ARG,2019,1.7
SI.POV.DDAY,ARG,2018,1.6
SI.POV.DDAY,BRA,2024,3.0
SI.POV.DDAY,BRA,2023,3.8
SI.POV.DDAY,BRA,2022,4.9
SI.POV.DDAY,BRA,2021,7.5
SI.POV.DDAY,BRA,2020,2.8
SI.POV.DDAY,BRA,2019,7.0
SI.POV.DDAY,BRA,2018,6.9
SI.POV.DDAY,CHN,2024,
SI.POV.DDAY,CHN,2023,
SI.POV.DDAY,CHN,2022,0.0
SI.POV.DDAY,CHN,2021,0.0
SI.POV.DDAY,CHN,2020,0.0
SI.POV.DDAY,CHN,2019,0.0
SI.POV.DDAY,CHN,2018,0.7
SI.POV.DDAY,DEU,2024,
SI.POV.DDAY,DEU,2023,
SI.POV.DDAY,DEU,2022,0.7
SI.POV.DDAY,DEU,2021,0.6
SI.POV.DDAY,DEU,2020,0.3
SI.POV.DDAY,DEU,2019,0.2
SI.POV.DDAY,DEU,2018,0.1
SI.POV.DDAY,GBR,2024,
SI.POV.DDAY,GBR,2023,
SI.POV.DDAY,GBR,2022,
SI.POV.DDAY,GBR,2021,0.4
SI.POV.DDAY,GBR,2020,0.5
SI.POV.DDAY,GBR,2019,0.4
SI.POV.DDAY,GBR,2018,0.4
SI.POV.DDAY,IND,2024,
SI.POV.DDAY,IND,2023,
SI.POV.DDAY,IND,2022,5.3
SI.POV.DDAY,IND,2021,
SI.POV.DDAY,IND,2020,
SI.POV.DDAY,IND,2019,
SI.POV.DDAY,IND,2018,
SI.POV.DDAY,MEX,2024,1.6
SI.POV.DDAY,MEX,2023,
SI.POV.DDAY,MEX,2022,2.3
SI.POV.DDAY,MEX,2021,
SI.POV.DDAY,MEX,2020,4.3
SI.POV.DDAY,MEX,2019,
SI.POV.DDAY,MEX,2018,3.9
SI.POV.DDAY,USA,2024,1.1
SI.POV.DDAY,USA,2023,1.2
SI.POV.DDAY,USA,2022,1.4
SI.POV.DDAY,USA,2021,0.3
SI.POV.DDAY,USA,2020,0.4
SI.POV.DDAY,USA,2019,1.0
SI.POV.DDAY,USA,2018,1.1
SP.POP.TOTL,ARG,2024,45696159.0
SP.POP.TOTL,ARG,2023,45538401.0
SP.POP.TOTL,ARG,2022,45407904.0
SP.POP.TOTL,ARG,2021,45312281.0
SP.POP.TOTL,ARG,2020,45191965.0
SP.POP.TOTL,ARG,2019,44973465.0
SP.POP.TOTL,ARG,2018,44654882.0
SP.POP.TOTL,BRA,2024,211998573.0
SP.POP.TOTL,BRA,2023,211140729.0
SP.POP.TOTL,BRA,2022,210306415.0
SP.POP.TOTL,BRA,2021,209550294.0
SP.POP.TOTL,BRA,2020,208660842.0
SP.POP.TOTL,BRA,2019,207455459.0
SP.POP.TOTL,BRA,2018,206107261.0
SP.POP.TOTL,CHN,2024,1408975000.0
SP.POP.TOTL,CHN,2023,1410710000.0
SP.POP.TOTL,CHN,2022,1412175000.0
SP.POP.TOTL,CHN,2021,1412360000.0
SP.POP.TOTL,CHN,2020,1411100000.0
SP.POP.TOTL,CHN,2019,1407745000.0
SP.POP.TOTL,CHN,2018,1402760000.0
SP.POP.TOTL,DEU,2024,83516593.0
SP.POP.TOTL,DEU,2023,83287273.0
SP.POP.TOTL,DEU,2022,83177813.0
SP.POP.TOTL,DEU,2021,83196078.0
SP.POP.TOTL,DEU,2020,83160871.0
SP.POP.TOTL,DEU,2019,83092962.0
SP.POP.TOTL,DEU,2018,82905782.0
SP.POP.TOTL,GBR,2024,69226000.0
SP.POP.TOTL,GBR,2023,68492000.0
SP.POP.TOTL,GBR,2022,67604000.0
SP.POP.TOTL,GBR,2021,66984000.0
SP.POP.TOTL,GBR,2020,66744000.0
SP.POP.TOTL,GBR,2019,66631000.0
SP.POP.TOTL,GBR,2018,66289000.0
SP.POP.TOTL,IND,2024,1450935791.0
SP.POP.TOTL,IND,2023,1438069596.0
SP.POP.TOTL,IND,2022,1425423212.0
SP.POP.TOTL,IND,2021,1414203896.0
SP.POP.TOTL,IND,2020,1402617695.0
SP.POP.TOTL,IND,2019,1389030312.0
SP.POP.TOTL,IND,2018,1374659064.0
SP.POP.TOTL,MEX,2024,130861007.0
SP.POP.TOTL,MEX,2023,129739759.0
SP.POP.TOTL,MEX,2022,128613117.0
SP.POP.TOTL,MEX,2021,127648148.0
SP.POP.TOTL,MEX,2020,126799054.0
SP.POP.TOTL,MEX,2019,125762982.0
SP.POP.TOTL,MEX,2018,124573711.0
SP.POP.TOTL,USA,2024,340110988.0
SP.POP.TOTL,USA,2023,336806231.0
SP.POP.TOTL,USA,2022,334017321.0
SP.POP.TOTL,USA,2021,332099760.0
SP.POP.TOTL,USA,2020,331577720.0
SP.POP.TOTL,USA,2019,330226227.0
SP.POP.TOTL,USA,2018,328529577.0
NY.GDP.MKTP.CD,ARG,2024,638365455340.04
NY.GDP.MKTP.CD,ARG,2023,649461687959.174
NY.GDP.MKTP.CD,ARG,2022,633993756301.08
NY.GDP.MKTP.CD,ARG,2021,486564085480.036
NY.GDP.MKTP.CD,ARG,2020,385740508436.965
NY.GDP.MKTP.CD,ARG,2019,447754683615.225
NY.GDP.MKTP.CD,ARG,2018,524819892360.176
NY.GDP.MKTP.CD,BRA,2024,2185821648943.86
NY.GDP.MKTP.CD,BRA,2023,2191131869706.02
