doi,titulo,ano,autores,periodico,citacoes,subjects
10.1145/3173574.3174014,Fairness and Accountability Design Needs for Algorithmic Support in High-Stakes Public Sector Decision-Making,2018.0,Veale; Van Kleek; Binns,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,327,
10.1016/j.techsoc.2020.101421,"Trust, transparency, and openness: How inclusion of cultural values shapes Nordic national public policy strategies for artificial intelligence (AI)",2020.0,Robinson,Technology in Society,264,
10.1093/oso/9780198838494.003.0006,Administration by Algorithm?,2019.0,Veale; Brass,Algorithmic Regulation,84,
10.1108/aaaj-06-2022-5856,The loopholes of algorithmic public services: an “intelligent” accountability research agenda,2023.0,Bracci,"Accounting, Auditing &amp; Accountability Journal",71,
10.1016/j.pubrev.2024.102507,Beyond the code: The impact of AI algorithm transparency signaling on user trust and relational satisfaction,2024.0,Park; Yoon,Public Relations Review,67,
10.1109/jbhi.2021.3088832,"Guest Editorial Explainable AI: Towards Fairness, Accountability, Transparency and Trust in Healthcare",2021.0,Shaban-Nejad; Michalowski; Brownstein; Buckeridge,IEEE Journal of Biomedical and Health Informatics,63,
10.1080/14719037.2020.1751254,A validated measurement for felt relational accountability in the public sector: gauging the account holder’s legitimacy and expertise,2021.0,Overman; Schillemans; Grimmelikhuijsen,Public Management Review,60,
10.1016/j.knosys.2020.105532,Machine learning explainability via microaggregation and shallow decision trees,2020.0,Blanco-Justicia; Domingo-Ferrer; Martínez; Sánchez,Knowledge-Based Systems,56,
10.1017/bpp.2020.61,"Nudge/sludge symmetry: on the relationship between nudge and sludge and the resulting ontological, normative and transparency implications",2023.0,MILLS,Behavioural Public Policy,52,
10.1017/bpp.2018.40,Transparency effects on policy compliance: disclosing how defaults work can enhance their effectiveness,2019.0,PAUNOV; WÄNKE; VOGEL,Behavioural Public Policy,51,
10.2139/ssrn.4640316,Explainable Artificial Intelligence (XAI) Approaches for Transparency and Accountability in Financial Decision-Making,2023.0,Rane; Choudhary; Rane,SSRN Electronic Journal,47,
10.31235/osf.io/mwhnb,Administration by Algorithm? Public Management meets Public Sector Machine Learning,,Veale; Brass,,46,
10.4324/9781351059671,Co-Production and Public Service Management,2018.0,Pestoff,,46,
10.1111/padm.12613,The partisan–professional dichotomy revisited: Politicization and decision‐making of senior civil servants,2019.0,Ebinger; Veit; Fromm,Public Administration,45,
10.2139/ssrn.3877437,Assembling Accountability: Algorithmic Impact Assessment for the Public Interest,,Moss; Watkins; Singh; Elish; Metcalf,SSRN Electronic Journal,42,
10.1080/13501763.2018.1528295,Transparency of EU informal trilogues through public feedback in the European Parliament: promise unfulfilled,2019.0,Brandsma,Journal of European Public Policy,40,
10.1145/3593013.3594071,Going public: the role of public participation approaches in commercial AI labs,2023.0,Groves; Peppin; Strait; Brennan,2023 ACM Conference on Fairness Accountability and Transparency,39,
10.55041/ijsrem17592,Explainable AI (XAI) and its Applications in Building Trust and Understanding in AI Decision Making,2023.0,Tiwari,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,36,
10.23880/art-16000110,Transparency in AI Decision Making: A Survey of Explainable AI Methods and Applications,2024.0,R,Advances in Robotic Technology,36,
10.1111/puar.13735,Information use in public administration and policy decision‐making: A research synthesis,2023.0,Cantarelli; Belle; Hall,Public Administration Review,33,
10.1093/acrefore/9780190228637.013.1404,Transparency in Public Administration,2020.0,Erkkilä,Oxford Research Encyclopedia of Politics,29,
10.1017/bpp.2020.11,The impact of online platform transparency of information on consumers’ choices,2023.0,VELTRI; LUPIÁÑEZ-VILLANUEVA; FOLKVORD; THEBEN; GASKELL,Behavioural Public Policy,28,
10.1145/3643834.3660722,Designing Interactive Explainable AI Tools for Algorithmic Literacy and Transparency,2024.0,Bhat; Long,Designing Interactive Systems Conference,28,
10.69987/jacs.2023.30302,"Transparency, Privacy, and Accountability in AI-Enhanced HR Processes",2024.0,Reddy Yanamala,Journal of Advanced Computing Systems,28,
10.2308/ajpt-52261,Auditors' Communications with Audit Committees: The Influence of the Audit Committee's Oversight Approach,2019.0,Fiolleau; Hoang; Pomeroy,Auditing: A Journal of Practice &amp; Theory,27,
10.1177/07439156231186573,AI Through a CSR Lens: Consumer Issues and Public Policy,2023.0,Du; Sen,Journal of Public Policy &amp; Marketing,26,
10.1016/j.jaccpubpol.2021.106875,"The effects of cross-border cooperation on disclosure enforcement, earnings attributes, and transparency",2021.0,Silvers,Journal of Accounting and Public Policy,25,
10.1111/puar.13799,"Automated, administrative decision‐making and good governance: Synergies, trade‐offs, and limits",2024.0,Roehl; Hansen,Public Administration Review,24,
10.31235/osf.io/8kvf4,Fairness and Accountability Design Needs for Algorithmic Support in High-Stakes Public Sector Decision-Making,,Veale; Van Kleek; Binns,,24,
10.1017/9781009427500,Algorithmic Rule By Law,2024.0,Smuha,,22,
10.1007/978-3-031-66489-2_5,Transparency and Accountability in Explainable AI: Best Practices,2024.0,Akhtar; Kumar; Nayyar,"Studies in Systems, Decision and Control",22,
10.58812/esaf.v1i03.105,Enhancing Accountability and Transparency in the Public Sector: A Comprehensive Review of Public Sector Accounting Practices,2023.0,Amalia,The ES Accounting And Finance,21,
10.1145/3351095.3375690,"Fairness, accountability, transparency in AI at scale",2020.0,Ahmad; Teredesai; Eckert,"Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",21,
10.1108/ijpsm-02-2017-0043,Re-locating accountability through technology,2018.0,Petrakaki,International Journal of Public Sector Management,20,
10.1145/3340470.3340476,Beyond transparency,2019.0,Berscheid; Roewer-Despres,AI Matters,20,
10.1080/13501763.2019.1578814,Analysing the trade-off between transparency and efficiency in the Council of the European Union,2020.0,Novak; Hillebrandt,Journal of European Public Policy,19,
10.1080/13600834.2022.2116354,The limits of explainability &amp; human oversight in the EU Commission’s proposal for the Regulation on AI- a critical approach focusing on medical diagnostic systems,2023.0,Onitiu,Information &amp; Communications Technology Law,19,
10.1111/padm.12645,Tension in democratic administration: Does managerial confidence in administrative capacity reduce citizen participation in organizational decision‐making?,2020.0,Zhang; Stritch; Welch,Public Administration,19,
10.14763/2024.4.1810,AI-generated journalism: Do the transparency provisions in the AI Act give news readers what they hope for?,2024.0,Piasecki; Morosoli; Helberger; Naudts,Internet Policy Review,18,
10.1007/978-3-031-27961-4_3,Applications of XAI for Decision Making in the Manufacturing Domain,2023.0,Chen,SpringerBriefs in Applied Sciences and Technology,18,
10.4018/979-8-3693-7452-8.ch009,"Accountability, Trust, and Transparency in AI Systems From the Perspective of Public Policy",2024.0,Agrawal,Advances in Healthcare Information Systems and Administration,18,
10.1016/j.procs.2021.08.215,Automated decision-making in public administration,2021.0,Monarcha-Matlak,Procedia Computer Science,17,
10.3390/make6030071,"A Cognitive Load Theory (CLT) Analysis of Machine Learning Explainability, Transparency, Interpretability, and Shared Interpretability",2024.0,Fox; Rey,Machine Learning and Knowledge Extraction,17,
10.33140/amlai.05.03.03,"Ethical AI in Information Technology: Navigating Bias, Privacy, Transparency, and Accountability",2024.0,; Sargiotis,Advances in Machine Learning &amp; Artificial Intelligence,17,
10.1111/padm.12793,What has become of the audit explosion? Analyzing trends in oversight activities in the Canadian government,2022.0,Liston‐Heyes; Juillet,Public Administration,17,
10.3386/w24653,Public Policy in an AI Economy,2018.0,Goolsbee,,16,
10.70937/itej.v2i01.53,Explainable AI In E-Commerce: Enhancing Trust And Transparency In AI-Driven Decisions,2024.0,Sarkar,Innovatech Engineering Journal,16,
10.1332/030557318x15296526490810,"Governance, accountability and the role of public sector boards",2019.0,Schillemans; Bovens,Policy &amp; Politics,16,
10.1177/14614448241251791,User-generated accountability: Public participation in algorithmic governance on YouTube,2024.0,Reynolds; Hallinan,New Media &amp; Society,16,
10.1093/oxfordhb/9780197579329.013.36,Public Opinion toward Artificial Intelligence,2023.0,Zhang,The Oxford Handbook of AI Governance,15,
10.1080/13501763.2019.1599043,Opening up by closing off: how increased transparency triggers informalisation in EU decision-making,2020.0,Coremans,Journal of European Public Policy,14,
10.2139/ssrn.4099657,From Transparency to Justification: Toward Ex Ante Accountability for AI,,Malgieri; Pasquale,SSRN Electronic Journal,14,
10.1017/bpp.2024.7,Transparency and nudging: an overview and methodological critique of empirical investigations,2024.0,Michaelsen,Behavioural Public Policy,14,
10.1016/j.clsr.2020.105490,Exclusivity and paternalism in the public governance of explainable AI,2021.0,Keller; Drake,Computer Law &amp; Security Review,14,
10.1177/1087724x19898699,Transparency and Accountability—The Case of Public Procurement Practices in Switzerland,2021.0,Mabillard; Zumofen,Public Works Management &amp; Policy,13,
10.1109/icnsc58704.2023.10319030,Explainable AI (XAI) for AI-Acceptability: The Coming Age of Digital Management 5.0,2023.0,Gamoura,"2023 IEEE International Conference on Networking, Sensing and Control (ICNSC)",13,
10.1145/3630106.3658541,Beyond Individual Accountability: (Re-)Asserting Democratic Control of AI,2024.0,Bogiatzis-Gibbons,The 2024 ACM Conference on Fairness Accountability and Transparency,13,
10.1609/aimag.v41i1.5204,"Patterns and Antipatterns, Principles, and Pitfalls: Accountability and Transparency in Artificial Intelligence",2020.0,Matthews,AI Magazine,13,
10.1109/icict62343.2024.00093,Explainable AI: The Quest for Transparency in Business and Beyond,2024.0,DeSimone; Leon-Espinosa,2024 7th International Conference on Information and Computer Technologies (ICICT),12,
10.1145/3630106.3658985,Transparency in the Wild: Navigating Transparency in a Deployed AI System to Broaden Need-Finding Approaches,2024.0,Turri; Morrison; Robinson; Abidi; Perer; Forlizzi; Dzombak,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",11,
10.1093/oxfordhb/9780197579329.013.11,Governance via Explainability,2022.0,Danks,The Oxford Handbook of AI Governance,11,
10.1145/3531146.3533076,FAccT-Check on AI regulation: Systematic Evaluation of AI Regulation on the Example of the Legislation on the Use of AI in the Public Sector in the German Federal State of Schleswig-Holstein,2022.0,Simbeck,2022 ACM Conference on Fairness Accountability and Transparency,10,
10.24818/ida-cl/2022.35,eXplainable AI in Credit Risk Management,,Misheva,,9,
10.31389/lseppr.111,Transparency and Explainability for Public Policy,2024.0,Vredenburgh,LSE Public Policy Review,9,
10.1109/icmla58977.2023.00088,Improving Transparency and Explainability of Deep Learning Based IoT Botnet Detection Using Explainable Artificial Intelligence (XAI),2023.0,Kalakoti; Nõmm; Bahsi,2023 International Conference on Machine Learning and Applications (ICMLA),9,
10.1016/j.jaccpubpol.2023.107111,Transparency trade-offs in the operation of national Public Private Partnership units: The case of Ireland’s National Development Finance Agency,2023.0,Sheppard; Beck,Journal of Accounting and Public Policy,9,
10.31389/lseppr.115,AI and Data Science for Public Policy,2024.0,Benoit,LSE Public Policy Review,9,
10.2139/ssrn.3506274,Explainable AI in Credit Risk Management,,Bussmann; Giudici; Marinelli; Papenbrock,SSRN Electronic Journal,9,
10.1145/3630106.3658548,"Regulating AI-Based Remote Biometric Identification. Investigating the Public Demand for Bans, Audits, and Public Database Registrations",2024.0,Kieslich; Lünich,The 2024 ACM Conference on Fairness Accountability and Transparency,9,
10.1016/j.marpol.2017.02.010,Managing deep sea mining revenues for the public good- ensuring transparency and distribution equity,2018.0,Ovesen; Hackett; Burns; Mullins; Roger,Marine Policy,8,
