ticker,nome,setor,industria,market_cap,enterprise_value,total_debt,total_cash,total_equity,ebitda,revenue_ttm,profit_margin,operating_margin,return_on_assets,return_on_equity,beta,trailing_pe,forward_pe,price_to_book,wacc_estimado
POSI3.SA,Positivo Tecnologia S.A.,Technology,Computer Hardware,553455808.0,1248647808.0,1299090944.0,605894016.0,,266612000.0,3380873984.0,0.00291,0.0651,0.036,0.007900001,0.09,57.0,2.3659306,0.3567916,
TOTS3.SA,TOTVS S.A.,Technology,Software - Application,16645889024.0,20407242752.0,4862867968.0,1432828032.0,,1321436032.0,6082600960.0,0.15223,0.20716,0.06689,0.16914,0.378,19.517006,13.557512,3.302256,
LWSA3.SA,Locaweb Serviços de Internet S.A.,Technology,Software - Infrastructure,2278996224.0,2061127680.0,74124000.0,288599008.0,,-194931008.0,1502420992.0,-0.14559,0.14777,-0.040009998,-0.08613,0.172,,10.927955,0.97121465,
MLAS3.SA,Grupo Multi S.A.,Technology,Electronics & Computer Distribution,1364559360.0,1210964608.0,471049984.0,624617984.0,,284271008.0,4032694016.0,0.04481,0.09528,0.029849999,0.059809998,0.52,7.6818185,4.71843,0.45973885,
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Industrials,Building Products & Equipment,4564594688.0,4259081984.0,975507968.0,1303137024.0,,564985024.0,4649750016.0,0.12363,0.11489,0.05945,0.18765,-0.025,7.9261365,6.986353,1.4520662,
BMOB3.SA,Bemobi Mobile Tech S.A.,Communication Services,Entertainment,1950587264.0,1714619392.0,45595000.0,349216000.0,,160592992.0,1791790976.0,0.08913,0.100039996,0.05408,0.15548,0.176,12.50532,10.495536,2.0482664,
PSSA3.SA,Porto Seguro S.A.,Financial Services,Insurance - Diversified,34139250688.0,22020794368.0,820825984.0,13041094656.0,,5248531968.0,44318310400.0,0.083100006,0.13226,0.060949996,0.2516,0.462,9.3767605,8.551015,2.1951118,
ALSO3.SA,,,,,,,,,,,,,,,,,,,
LJQQ3.SA,Lojas Quero-Quero S.A.,Consumer Cyclical,Specialty Retail,271061600.0,1936118656.0,2438159872.0,773102976.0,,50370000.0,2813317120.0,-0.06843,-0.011080001,0.0,-0.43785998,0.32,,18.714285,0.78963226,
SQIA3.SA,,,,,,,,,,,,,,,,,,,
BBDC4.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional,189427154944.0,685697597440.0,849051254784.0,353307787264.0,,,91670847488.0,0.25358,0.35085,0.0104600005,0.13366,0.256,8.533334,5.892411,1.0537457,
ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates,150846668800.0,161347731456.0,12652000256.0,6970999808.0,,1706000000.0,8365000192.0,2.0302498,0.04705,0.0026800002,0.184,0.265,8.855264,6.962081,1.6730889,
BBSE3.SA,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,76038701056.0,69660368896.0,0.0,6378334208.0,,10011752448.0,10475694080.0,0.87751,0.95981,0.32808998,0.75649,0.126,8.263713,8.830764,6.015049,
