Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2018-01-02,,14794320,1901000,,,18394864,,,,200400,436000,,946711
2018-01-03,,9683264,2100400,,,17684693,,,,601200,468000,,786716
2018-01-04,,16803885,2349500,,,18738854,,,,251500,548000,,923811
2018-01-05,,11602172,2585900,,,14207905,,,,816700,768200,,13018335
2018-01-08,,11357609,2629300,,,14443380,,,,1214600,581200,,694214
2018-01-09,,9807303,2931000,,,32567463,,,,1063600,616800,,1499612
2018-01-10,,15648359,2248700,,,15897734,,,,503100,1238000,,478477
2018-01-11,,11252369,1939600,,,18427721,,,,390000,1040600,,387181
2018-01-12,,8755435,4540400,,,28372146,,,,767800,1455200,,979553
2018-01-15,,11004644,833900,,,10464948,,,,481200,609600,,579416
2018-01-16,,13154060,1985700,,,20932922,,,,637600,1699000,,1432119
2018-01-17,,13036697,4783200,,,19662164,,,,390900,2055400,,692406
2018-01-18,,15550323,3135400,,,28597245,,,,195600,1416400,,546874
2018-01-19,,19189958,2872900,,,13232428,,,,224700,1390200,,704760
2018-01-22,,15453341,2289500,,,26325069,,,,193700,1095800,,1220600
2018-01-23,,33601622,2883400,,,17766691,,,,227400,485600,,919894
2018-01-24,,36601035,3966000,,,36898388,,,,338700,1340200,,1027763
2018-01-25,,0,0,,,0,,,,0,0,,0
2018-01-26,,34145915,3451100,,,49673845,,,,487200,1210000,,1242294
2018-01-29,,21285261,3863000,,,21298816,,,,1981800,448600,,5578726
2018-01-30,,21703232,2289400,,,32430703,,,,682200,325000,,625516
2018-01-31,,31883178,5455800,,,34248213,,,,847600,534000,,1328770
2018-02-01,,42657314,2639000,,,29347047,,,,328600,822400,,920196
2018-02-02,,34889093,1879600,,,22743370,,,,570100,890600,,690297
2018-02-05,,19859520,2338300,,,20760999,,,,412700,1267600,,1062413
2018-02-06,,56699497,3065800,,,37793597,,,,501700,1231600,,789126
2018-02-07,,23766032,4893400,,,32223041,,,,310700,2381600,,1206137
2018-02-08,,21307574,4957900,,,35967873,,,,220800,2130000,,2817535
2018-02-09,,23947170,4444400,,,29163596,,,,224700,1308200,,2462293
2018-02-14,,25548954,2441300,,,26083398,,,,127100,817600,,954244
2018-02-15,,11886090,1501400,,,13786817,,,,123400,591400,,1063920
2018-02-16,,12653337,2728100,,,36271079,,,,156000,817800,,2004304
2018-02-19,,9525844,6444600,,,16505444,,,,140100,419400,,774965
2018-02-20,,20210553,7496200,,,55413440,,,,156800,1061600,,1550533
2018-02-21,,38791036,3302500,,,42389106,,,,158500,2600200,,949423
2018-02-22,,16135026,3495800,,,45199099,,,,354900,1410000,,1476712
2018-02-23,,15156070,3902800,,,33190593,,,,305600,1032000,,1531249
2018-02-26,,13407407,3030800,,,23229452,,,,1197000,1054200,,1624956
2018-02-27,,11935636,1995800,,,15145626,,,,459500,971600,,982868
2018-02-28,,32392334,4897400,,,71286100,,,,315200,2241200,,1274233
2018-03-01,,16457245,2183400,,,26077777,,,,210600,964200,,1254045
2018-03-02,,13088702,1846100,,,27548271,,,,333900,722400,,1540891
2018-03-05,,12496620,2001700,,,19329271,,,,235100,556200,,1747287
2018-03-06,,13732789,2016200,,,19268168,,,,924400,568400,,1667139
2018-03-07,,15425933,3909700,,,21474053,,,,382500,1327600,,1929278
2018-03-08,,17527209,3359400,,,18338950,,,,307200,829000,,1015409
2018-03-09,,18565197,1851900,,,19625128,,,,214100,1164800,,991304
2018-03-12,,11530490,2148000,,,14569908,,,,430500,772800,,452264
2018-03-13,,14128272,2762500,,,13136739,,,,675000,727600,,690599
2018-03-14,,13252271,1813500,,,12843188,,,,531800,677800,,598699
2018-03-15,,23401120,3952900,,,26691828,,,,1369100,988800,,1544507
2018-03-16,,34084950,6259200,,,27738640,,,,380600,1213400,,1255853
2018-03-19,,16808102,3931500,,,17955042,,,,228200,1314600,,1104596
2018-03-20,,12647715,4737200,,,14979036,,,,197600,2492600,,2455362
2018-03-21,,19658529,2222600,,,19094660,,,,308600,1133200,,1687026
2018-03-22,,17920408,3699800,,,13087309,,,,699800,888000,,766830
2018-03-23,,18935205,6801700,,,20651188,,,,352100,758600,,810218
2018-03-26,,14497752,2646800,,,13564024,,,,698900,953600,,788223
2018-03-27,,10027796,3446500,,,13791861,,,,228200,902400,,2519842
2018-03-28,,12477294,2340500,,,12305659,,,,265300,1370200,,1165762
2018-03-29,,27092760,2659500,,,24848811,,,,146700,1314600,,796057
2018-04-02,,12985715,2091100,,,15241747,,,,214300,963600,,894886
2018-04-03,,21676719,2955700,,,12308397,,,,235000,1020800,,915676
2018-04-04,,12782391,2777000,,,14428249,,,,156300,663400,,1271823
2018-04-05,,38537081,1904100,,,17107534,,,,188600,631400,,926222
2018-04-06,,13999458,2526900,,,16427625,,,,240700,1499800,,1275137
2018-04-09,,18329467,3403700,,,17353529,,,,170700,1070800,,777074
2018-04-10,,20090060,2754900,,,17366066,,,,174900,1172200,,1010287
2018-04-11,,13541381,2363000,,,23633823,,,,120500,1473400,,1375774
2018-04-12,,28981992,2461500,,,16236247,,,,294600,1162800,,1615013
2018-04-13,,17707198,2252800,,,11798826,,,,186800,848200,,668904
2018-04-16,,15979826,2761900,,,15055269,,,,60200,728800,,661673
2018-04-17,,14813391,2069900,,,19489232,,,,159900,1711600,,1232954
2018-04-18,,38906833,3602200,,,18330880,,,,161500,1412000,,1633092
2018-04-19,,19068172,1940700,,,14341639,,,,109300,1019600,,1450499
2018-04-20,,11970215,2259500,,,12510871,,,,178600,1620400,,743629
2018-04-23,,9100366,2454600,,,8526674,,,,193100,831600,,2608126
2018-04-24,,11295398,1960600,,,14261370,,,,132600,724000,,624009
2018-04-25,,23200128,1715200,,,16819747,,,,94200,817600,,1165762
2018-04-26,,34209628,1948200,,,23626906,,,,53400,1422000,,1620135
2018-04-27,,16047228,1860300,,,16433389,,,,147300,948000,,1322443
2018-04-30,,13858425,1872800,,,16281498,,,,122200,2074200,,1239281
2018-05-02,,20946958,3084000,,,57009886,,,,890200,2013600,,1884383
2018-05-03,,21102845,4226800,,,52334972,,,,205600,1325600,,1446280
2018-05-04,,16202635,3766000,,,31787831,,,,261300,1125600,,2852788
2018-05-07,,16279940,4391300,,,19824431,,,,131400,1032000,,1074767
2018-05-08,,22512054,3152400,,,27974692,,,,109100,1173600,,1075972
2018-05-09,,12173538,2301800,,,23606443,,,,135200,1414000,,1622847
2018-05-10,,14180101,3382100,,,23645064,,,,159600,1209400,,3628356
2018-05-11,,14556880,3327600,,,14443957,,,,89400,786000,,1045841
2018-05-14,,18760072,4779200,,,19992895,,,,106900,1319600,,2105845
2018-05-15,,20378674,2608700,,,25311403,,,,375000,1731200,,1426997
