,Media (%),DP (%),Sharpe (anual),Obs.
B3SA3.SA,0.0999,2.3654,0.6707,2607.0
BBDC4.SA,0.0537,2.2196,0.3837,2607.0
BBSE3.SA,0.0531,1.7998,0.4685,2607.0
BMOB3.SA,0.0334,2.4547,0.2163,1089.0
INTB3.SA,0.0198,2.395,0.1314,1092.0
ITSA4.SA,0.0702,1.7939,0.6211,2607.0
LWSA3.SA,0.0717,4.1913,0.2715,1339.0
MLAS3.SA,-0.1609,4.1916,-0.6092,980.0
PETR4.SA,0.1385,2.9305,0.75,2607.0
POSI3.SA,0.1142,3.8067,0.4763,2607.0
PSSA3.SA,0.087,1.893,0.73,2607.0
TOTS3.SA,0.0825,2.3705,0.5523,2607.0
VALE3.SA,0.0972,2.7028,0.5709,2607.0
^BVSP,0.051,1.4897,0.5432,2607.0
