Date,B3SA3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LWSA3.SA,MLAS3.SA,PETR4.SA,POSI3.SA,PSSA3.SA,TOTS3.SA,VALE3.SA,^BVSP
2015-01-02,21734100,20142053,3619600,,,19084912,,,49559500,250800,686200,1351067,5658400,2882100.0
2015-01-05,34790100,19878785,4337500,,,36346466,,,78385100,181600,886800,2289341,8603000,3866100.0
2015-01-06,49214700,26416610,5199200,,,59591639,,,84723300,140300,926600,2664169,9879900,4559300.0
2015-01-07,24006600,27833207,7372400,,,35089960,,,85531000,163200,507200,3424973,6130900,4408800.0
2015-01-08,22967700,15119805,5638900,,,27806733,,,83306300,155600,630200,1453512,4667300,3621900.0
2015-01-09,17848800,16378492,5022100,,,17188366,,,50813100,150500,842400,936768,3577300,2999200.0
2015-01-12,37890600,16489207,7234800,,,27216306,,,58728900,62300,753800,1624956,4735200,3246100.0
2015-01-13,29477700,21003287,4740100,,,30967173,,,65834800,63800,1071000,1425490,6096400,3881600.0
2015-01-14,18569100,19433117,6425000,,,21642961,,,55736500,309100,1359600,1577350,10902600,3697200.0
2015-01-15,29427000,25751297,6330400,,,25574158,,,80907800,59300,1158600,1643336,5822800,4463600.0
2015-01-16,21628200,33012089,3972700,,,24550587,,,56978300,31200,709000,1389333,4004300,3344900.0
2015-01-19,29226900,16290226,3533900,,,20460347,,,30873100,69900,355200,1229941,2139300,2096000.0
2015-01-20,53613600,13588666,2935200,,,36898892,,,72842900,35700,747200,2182377,2060900,2899100.0
2015-01-21,40127400,21723447,3975800,,,52642682,,,48003500,38200,856400,866563,2841600,3561400.0
2015-01-22,92274600,22345393,4900000,,,49979426,,,74782400,121500,1068800,2069386,4077500,4952300.0
2015-01-23,24373200,15717515,3927700,,,38966443,,,43659400,55700,817800,2297477,7374000,3081600.0
2015-01-26,27995100,17672383,4210800,,,30714007,,,33202100,42100,875800,1476110,5010900,2774200.0
2015-01-27,31176900,24000768,3849700,,,26304451,,,58750400,73300,608800,1658401,5926800,3890900.0
2015-01-28,24946500,24958176,5159300,,,23159669,,,106337900,142600,703600,1241391,4019900,4241400.0
2015-01-29,29271000,25864053,4158400,,,25561667,,,111506300,222400,1278800,1893723,8705800,4405500.0
2015-01-30,69632100,27674022,6339900,,,46786086,,,87497200,236700,1363600,2054923,7360500,4846600.0
2015-02-02,25132200,23727040,4256800,,,28358456,,,57585100,66100,1611600,1271521,6374000,3247800.0
2015-02-03,38930100,23725510,5564300,,,43063896,,,98061700,57000,1739200,2148028,10130700,4819800.0
2015-02-04,37300200,27441876,4708100,,,67252415,,,117595000,113600,1036200,1483944,7812700,4811300.0
2015-02-05,34461600,19437453,5497800,,,56675216,,,78992700,98500,1130800,2166408,4582200,4004000.0
2015-02-06,34916700,18438718,8553400,,,42236664,,,117747100,90800,1230400,1278753,4462400,4591400.0
2015-02-09,23987400,21732631,5283600,,,33379903,,,72534200,60800,1757200,1530647,4581800,3658900.0
2015-02-10,20343000,16000937,12976500,,,41917700,,,75478700,60800,1143600,1201316,5708600,3796000.0
2015-02-11,88685700,24872206,16143800,,,41647322,,,48681100,39700,1275800,1528538,5888600,4307600.0
2015-02-12,30471900,17602995,7004300,,,21218683,,,61706000,44400,936200,1699681,5681000,3828500.0
2015-02-13,26991900,18634639,5371300,,,33782511,,,72282500,32100,1513800,1506241,7381400,3888100.0
2015-02-18,49479000,19939245,3698300,,,27323666,,,42896700,40200,1309800,680655,5872100,2940700.0
2015-02-19,22229100,11999108,7672200,,,28606062,,,38492400,60100,753000,897598,4910700,2485100.0
2015-02-20,22827900,8144985,2897400,,,18487141,,,35272700,43800,511000,1312499,2589100,2208700.0
2015-02-23,17523000,12216457,4041300,,,24661633,,,41168500,74600,1592400,920798,5798700,2824500.0
2015-02-24,28132200,17895855,6411600,,,32015487,,,48578000,286300,1227000,1083204,7130600,3004200.0
2015-02-25,23346900,20823438,6702200,,,24792576,,,96303900,46800,1739800,830707,4870400,3477200.0
2015-02-26,34166700,12804729,3272300,,,20453739,,,44179900,261300,737000,1114540,7354500,3239000.0
2015-02-27,49483800,30611553,4703300,,,40602414,,,46969600,186800,1245600,2459581,5026500,4177300.0
2015-03-02,42954000,24428068,2796300,,,19813243,,,38009000,43300,819200,2153150,4685300,2793700.0
2015-03-03,31415400,20408127,9933600,,,20358428,,,42133600,110100,980800,1645144,4441700,2746200.0
2015-03-04,30936300,24165055,3661500,,,26676852,,,48308500,196200,1239600,2179063,6035800,3654700.0
2015-03-05,36041400,33309541,5914500,,,50541069,,,52913800,95400,937400,1350464,7140400,2732500.0
2015-03-06,31528800,19781335,5104200,,,27384925,,,27181900,264400,657400,2911845,7622600,2787800.0
2015-03-09,30692100,19038980,4369900,,,27025974,,,37625700,227300,1381200,1814479,5393600,3299100.0
2015-03-10,30436200,28325304,12036300,,,43693960,,,72090500,174600,1966000,1191072,5896000,4434300.0
2015-03-11,43041300,17377227,11313700,,,40216080,,,44035300,296000,1274600,1524018,11250500,3839700.0
2015-03-12,46352400,25786246,6170400,,,25186808,,,63029900,157700,1604000,1994662,10526500,3833200.0
2015-03-13,52621200,24809450,4009800,,,24351829,,,72933500,153300,724400,1659004,14184500,4475600.0
2015-03-16,48949500,19831590,4736500,,,22172318,,,53380500,124600,1089000,1737344,7892200,3155400.0
2015-03-17,109299900,27340600,4389400,,,32322834,,,63896300,71900,1881000,4125817,8644000,4013900.0
2015-03-18,142158900,23118871,7685800,,,34021051,,,65324600,327400,1425200,2813317,9506400,4458900.0
2015-03-19,55851000,15463686,3462800,,,19814998,,,42857200,30800,642600,1089531,3495400,3263600.0
2015-03-20,71010900,26047218,4673400,,,36169319,,,65339300,53300,1349400,1839187,10164000,4916800.0
2015-03-23,126922800,11658033,4388300,,,23802958,,,34124600,103300,605200,1831654,4862600,3397500.0
2015-03-24,58778400,12732279,5014600,,,19979818,,,36392400,49800,1564000,1996771,5204700,3436500.0
2015-03-25,46023900,28497755,3181600,,,28164964,,,84659600,79400,991400,1225120,4752100,4774600.0
2015-03-26,58165800,30557216,6608900,,,33419698,,,58862000,448500,1122000,2127539,6943000,3638500.0
2015-03-27,35216700,21210474,4479400,,,45937363,,,51152500,80900,764000,1296530,6067800,3927700.0
2015-03-30,27870900,20418586,3393500,,,29433143,,,33372200,211900,1104600,1535769,4054400,2798500.0
2015-03-31,34534800,23138216,3797700,,,23273219,,,46908300,261200,1045200,3106490,5094700,3511300.0
2015-04-01,71051100,19430481,3196600,,,36828245,,,59374600,111900,528800,1385416,10595600,4411500.0
2015-04-02,83285400,16688529,7395800,,,34938703,,,69001800,311900,1680800,1646650,6519700,4266500.0
2015-04-06,63189600,12152554,6910300,,,27160953,,,45227600,368500,782800,1669851,4765200,3322100.0
2015-04-07,33727200,11705057,9798000,,,17424680,,,61721500,75200,1243200,1150395,11772400,3487100.0
2015-04-08,89329800,18838850,11010700,,,27864288,,,73904600,105500,1162400,1252238,6513500,4780400.0
2015-04-09,41054100,22461125,2932700,,,37787672,,,79280800,99500,1312600,1923553,8139900,4338300.0
2015-04-10,66959100,14701263,4725000,,,31032715,,,70021600,136800,1041200,1251334,4013700,3683000.0
2015-04-13,27767100,17276971,4571700,,,22631144,,,104809600,160000,1371800,1280561,4761800,3660300.0
