pais,n_artigos
US,1152
CN,981
GB,736
ID,477
IN,321
DE,311
ES,268
IT,263
AU,256
CA,241
NL,225
TR,189
FR,184
MY,178
SA,170
PK,150
BR,129
UA,120
CH,119
PL,119
ZA,113
NG,107
RU,101
KR,94
SE,94
PT,93
BE,87
DK,80
BD,78
AE,77
AT,77
RO,75
GR,74
JP,71
NO,70
FI,69
IR,61
HU,60
IE,58
CZ,53
CO,50
MA,50
MX,49
SG,47
JO,47
HK,46
EG,43
SI,41
VN,40
CL,39
SK,38
TH,38
IQ,37
TW,35
PE,34
GH,33
KE,32
KZ,31
NZ,31
ET,29
PH,29
HR,28
RS,27
QA,27
EC,22
DZ,21
BG,21
LT,21
CY,21
IL,20
EE,20
MM,19
LV,18
LB,18
OM,18
KW,17
MO,17
UZ,17
BH,16
NP,15
AZ,14
LK,13
TN,12
UG,12
CM,12
TZ,11
AL,11
MN,11
AR,11
BA,10
LU,10
ZW,10
MK,9
YE,9
KH,8
RW,8
MD,7
GE,7
CD,7
TO,7
AF,7
TJ,6
FJ,6
CR,6
HN,5
SO,5
XK,5
BO,5
JM,5
BW,5
BY,5
BN,4
SV,4
CU,4
SD,4
LY,4
UY,4
PA,4
PS,4
VE,4
MT,4
MZ,4
NA,4
ZM,3
CI,3
DO,3
AM,3
KG,3
MW,2
LR,2
TG,2
GU,2
TT,2
BB,2
MU,2
FO,2
GY,2
PG,2
BF,2
BT,1
ST,1
PY,1
SZ,1
NI,1
WS,1
ML,1
LA,1
AG,1
BI,1
MG,1
SS,1
SY,1
RE,1
IS,1
GA,1
GL,1
PW,1
SN,1
SL,1
TD,1
PR,1
