pais,pais_nome,ano,valor
ARE,United Arab Emirates,2024,3.99180705485398
ARE,United Arab Emirates,2023,4.30118228020602
ARE,United Arab Emirates,2022,7.51448425801082
ARE,United Arab Emirates,2021,4.55278571242283
ARE,United Arab Emirates,2020,-8.69342617885171
ARE,United Arab Emirates,2019,1.27134240761141
ARE,United Arab Emirates,2018,1.53716683173516
ARE,United Arab Emirates,2017,-1.06137661464977
ARE,United Arab Emirates,2016,5.65793329224303
ARE,United Arab Emirates,2015,7.08767348587587
ARG,Argentina,2024,-1.34293072157739
ARG,Argentina,2023,-1.85578803046339
ARG,Argentina,2022,6.02074537534855
ARG,Argentina,2021,10.4418119882506
ARG,Argentina,2020,-9.9004848136464
ARG,Argentina,2019,-2.00086100285785
ARG,Argentina,2018,-2.61739646282038
ARG,Argentina,2017,2.81850297775918
ARG,Argentina,2016,-2.08032784377811
ARG,Argentina,2015,2.73115982828944
AUS,Australia,2024,1.37340773365975
AUS,Australia,2023,3.58382100798981
AUS,Australia,2022,4.25304559238732
AUS,Australia,2021,2.00694844335034
AUS,Australia,2020,-0.133531904304775
AUS,Australia,2019,2.19401703622717
AUS,Australia,2018,2.87417039499501
AUS,Australia,2017,2.29331030192918
AUS,Australia,2016,2.75564065529868
AUS,Australia,2015,2.16434780647852
AUT,Austria,2024,-0.659089573171372
AUT,Austria,2023,-0.786244288594673
AUT,Austria,2022,5.33096379400371
AUT,Austria,2021,4.92309171717903
AUT,Austria,2020,-6.31825509209936
AUT,Austria,2019,1.75497619649288
AUT,Austria,2018,2.48422114080024
AUT,Austria,2017,2.27224992038207
AUT,Austria,2016,2.11721964494312
AUT,Austria,2015,1.30352331826198
BEL,Belgium,2024,1.07045413019414
BEL,Belgium,2023,1.71412195515242
BEL,Belgium,2022,3.9562379757933
BEL,Belgium,2021,6.25445686466593
BEL,Belgium,2020,-4.7929839083518
BEL,Belgium,2019,2.4428900448156
BEL,Belgium,2018,1.87796847383565
BEL,Belgium,2017,1.47446761556785
BEL,Belgium,2016,1.19350273007754
BEL,Belgium,2015,1.47416433731927
BGR,Bulgaria,2024,3.38709063847314
BGR,Bulgaria,2023,1.68151074972904
BGR,Bulgaria,2022,4.0838640915123
BGR,Bulgaria,2021,7.82817232822165
BGR,Bulgaria,2020,-3.13323303076419
BGR,Bulgaria,2019,3.79331765354152
BGR,Bulgaria,2018,2.33015213407045
BGR,Bulgaria,2017,2.74592676054861
BGR,Bulgaria,2016,3.02662841229517
BGR,Bulgaria,2015,3.39755336780412
BOL,Bolivia,2024,-1.12335595517212
BOL,Bolivia,2023,2.51636590154891
BOL,Bolivia,2022,3.74741781241461
BOL,Bolivia,2021,10.0290488827886
BOL,Bolivia,2020,-12.7194690092717
BOL,Bolivia,2019,1.50672102666863
BOL,Bolivia,2018,2.86808404814794
BOL,Bolivia,2017,4.19520633360403
BOL,Bolivia,2016,4.26392086382097
BOL,Bolivia,2015,4.8571871797142
BRA,Brazil,2024,3.41931516597739
BRA,Brazil,2023,3.24165532813583
BRA,Brazil,2022,3.01669435408112
BRA,Brazil,2021,4.7626043797061
BRA,Brazil,2020,-3.27675879612903
BRA,Brazil,2019,1.22077782271943
BRA,Brazil,2018,1.78366676137003
BRA,Brazil,2017,1.32286905390815
BRA,Brazil,2016,-3.2759169063211
BRA,Brazil,2015,-3.54576339347278
CAN,Canada,2024,1.55479521049516
CAN,Canada,2023,1.52874550838358
CAN,Canada,2022,4.18903628100851
CAN,Canada,2021,5.95052802804381
CAN,Canada,2020,-5.03823343468899
CAN,Canada,2019,1.90843194590616
CAN,Canada,2018,2.74296344906655
CAN,Canada,2017,3.03383491200222
CAN,Canada,2016,1.03855092490855
CAN,Canada,2015,0.649971001734855
CHE,Switzerland,2024,1.30233332541106
CHE,Switzerland,2023,0.683328174376044
CHE,Switzerland,2022,3.04406102969423
CHE,Switzerland,2021,5.55962020605844
CHE,Switzerland,2020,-2.14173712008038
CHE,Switzerland,2019,1.14198218965691
CHE,Switzerland,2018,2.86044579439036
CHE,Switzerland,2017,1.36279965488859
CHE,Switzerland,2016,2.06868969039562
CHE,Switzerland,2015,1.64462750849488
CHL,Chile,2024,2.64431154871538
CHL,Chile,2023,0.521367977246825
CHL,Chile,2022,2.15399356192458
CHL,Chile,2021,11.3149204879049
CHL,Chile,2020,-6.14347479224092
CHL,Chile,2019,0.634367533828438
CHL,Chile,2018,3.99002947789977
CHL,Chile,2017,1.35769537343957
CHL,Chile,2016,1.753038749071
CHL,Chile,2015,2.15194249981184
CHN,China,2024,4.9773565917572
CHN,China,2023,5.41484330099675
CHN,China,2022,3.1341888719577
CHN,China,2021,8.57008513166322
CHN,China,2020,2.34018843078414
CHN,China,2019,6.06850235053705
CHN,China,2018,6.75671800166833
CHN,China,2017,6.8912663621211
CHN,China,2016,6.77555562837017
CHN,China,2015,6.97878002657477
COL,Colombia,2024,1.5983315366523
COL,Colombia,2023,0.712380031974334
COL,Colombia,2022,7.32827729427979
COL,Colombia,2021,10.8011981904878
COL,Colombia,2020,-7.18591413760859
COL,Colombia,2019,3.18685539245533
COL,Colombia,2018,2.56432428277704
COL,Colombia,2017,1.35936086788746
COL,Colombia,2016,2.08738250162794
COL,Colombia,2015,2.95590137527523
CRI,Costa Rica,2024,4.32122429646145
CRI,Costa Rica,2023,5.11192183224598
CRI,Costa Rica,2022,4.55149177958398
CRI,Costa Rica,2021,7.93576224743147
CRI,Costa Rica,2020,-4.27335432161462
CRI,Costa Rica,2019,2.41751181762513
CRI,Costa Rica,2018,2.6159044043379
CRI,Costa Rica,2017,4.1576989627609
CRI,Costa Rica,2016,4.20432325175899
CRI,Costa Rica,2015,3.65208096802883
CYP,Cyprus,2024,3.94077381708404
CYP,Cyprus,2023,3.61945644636856
CYP,Cyprus,2022,8.27372597293814
CYP,Cyprus,2021,11.3975590801512
CYP,Cyprus,2020,-3.22063018637567
CYP,Cyprus,2019,5.87559583386607
CYP,Cyprus,2018,6.27166360056404
CYP,Cyprus,2017,5.75083236554525
CYP,Cyprus,2016,6.57359080924678
CYP,Cyprus,2015,3.41892038889013
CZE,Czechia,2024,1.23308611983484
CZE,Czechia,2023,0.0475803308973752
CZE,Czechia,2022,2.8471706583814
CZE,Czechia,2021,4.02901832055149
CZE,Czechia,2020,-5.30487955463876
CZE,Czechia,2019,3.56577658128261
CZE,Czechia,2018,2.83030588267866
CZE,Czechia,2017,5.17356529967881
CZE,Czechia,2016,2.58087013921376
CZE,Czechia,2015,4.95875848915604
DEU,Germany,2024,-0.495851897260366
DEU,Germany,2023,-0.869647578573321
DEU,Germany,2022,1.8092581243061
DEU,Germany,2021,3.90999994204108
DEU,Germany,2020,-4.13191443239947
DEU,Germany,2019,0.977734697038784
DEU,Germany,2018,1.13569604599849
DEU,Germany,2017,2.797906720551
DEU,Germany,2016,2.22222216259371
DEU,Germany,2015,1.66300602334775
DNK,Denmark,2024,3.47783593140312
DNK,Denmark,2023,0.604587766175584
DNK,Denmark,2022,0.443832614908331
DNK,Denmark,2021,6.50025445756295
DNK,Denmark,2020,-1.78010601831291
DNK,Denmark,2019,1.71140093932736
DNK,Denmark,2018,1.8600074900921
DNK,Denmark,2017,3.05647723922718
DNK,Denmark,2016,3.07304549209093
DNK,Denmark,2015,2.10441456445301
ECU,Ecuador,2024,-2.00125476341026
ECU,Ecuador,2023,1.98823813984235
ECU,Ecuador,2022,5.86842354862311
ECU,Ecuador,2021,9.42189269033631
ECU,Ecuador,2020,-9.24509619165865
ECU,Ecuador,2019,0.1654044646003
ECU,Ecuador,2018,1.04429460679607
ECU,Ecuador,2017,5.97039880954841
ECU,Ecuador,2016,-0.687954245877947
ECU,Ecuador,2015,0.119692109287612
EGY,"Egypt, Arab Rep.",2024,2.3991692678251
EGY,"Egypt, Arab Rep.",2023,3.76028052279247
EGY,"Egypt, Arab Rep.",2022,6.58784560886967
EGY,"Egypt, Arab Rep.",2021,3.29064601202211
EGY,"Egypt, Arab Rep.",2020,3.55016483786838
EGY,"Egypt, Arab Rep.",2019,5.55209307156956
EGY,"Egypt, Arab Rep.",2018,5.3311086189448
EGY,"Egypt, Arab Rep.",2017,4.18122099994778
EGY,"Egypt, Arab Rep.",2016,4.34664345555447
EGY,"Egypt, Arab Rep.",2015,4.37201907790141
ESP,Spain,2024,3.45525405630191
ESP,Spain,2023,2.46085796805582
ESP,Spain,2022,6.37031712129601
ESP,Spain,2021,6.68314420473001
ESP,Spain,2020,-10.9400706350371
ESP,Spain,2019,1.96117850841711
ESP,Spain,2018,2.39541124478878
ESP,Spain,2017,2.89604207865007
ESP,Spain,2016,2.91515598595787
