pais,pais_nome,ano,valor
ARE,United Arab Emirates,2024,50273.5060469837
ARE,United Arab Emirates,2023,49850.6872175164
ARE,United Arab Emirates,2022,50759.7589231191
ARE,United Arab Emirates,2021,44118.5047192771
ARE,United Arab Emirates,2020,37991.7492971665
ARE,United Arab Emirates,2019,45938.6073581994
ARE,United Arab Emirates,2018,47135.3591943971
ARE,United Arab Emirates,2017,43733.6192287435
ARE,United Arab Emirates,2016,42721.0999383185
ARE,United Arab Emirates,2015,44910.334995523
ARG,Argentina,2024,13969.7836603737
ARG,Argentina,2023,14261.8465667948
ARG,Argentina,2022,13962.1894087223
ARG,Argentina,2021,10738.0179223384
ARG,Argentina,2020,8535.59938004389
ARG,Argentina,2019,9955.97478680428
ARG,Argentina,2018,11752.7998922979
ARG,Argentina,2017,14532.5009308511
ARG,Argentina,2016,12699.9623137756
ARG,Argentina,2015,13679.6264980954
AUS,Australia,2024,64603.9856308464
AUS,Australia,2023,65058.3773146674
AUS,Australia,2022,65169.5191118657
AUS,Australia,2021,60758.9044397144
AUS,Australia,2020,51983.4523666382
AUS,Australia,2019,55194.7585097428
AUS,Australia,2018,57410.1737346009
AUS,Australia,2017,54117.547718609
AUS,Australia,2016,50084.4440606385
AUS,Australia,2015,56970.3613028094
AUT,Austria,2024,58268.8787651601
AUT,Austria,2023,56579.504175468
AUT,Austria,2022,52336.7725223758
AUT,Austria,2021,53648.6437976214
AUT,Austria,2020,48716.4098900349
AUT,Austria,2019,49885.9947355204
AUT,Austria,2018,51194.0749841299
AUT,Austria,2017,47163.7425775142
AUT,Austria,2016,45061.4993920192
AUT,Austria,2015,43915.228020857
BEL,Belgium,2024,56614.5679499036
BEL,Belgium,2023,55291.4754541329
BEL,Belgium,2022,50605.7496677086
BEL,Belgium,2021,51658.238294958
BEL,Belgium,2020,45906.2875805246
BEL,Belgium,2019,46716.6227467964
BEL,Belgium,2018,47487.2100392561
BEL,Belgium,2017,44035.3239358548
BEL,Belgium,2016,41854.5498296444
BEL,Belgium,2015,40893.804537772
BGR,Bulgaria,2024,17596.0173663521
BGR,Bulgaria,2023,15853.208636704
BGR,Bulgaria,2022,13999.1949530956
BGR,Bulgaria,2021,12966.1457543396
BGR,Bulgaria,2020,10760.211975413
BGR,Bulgaria,2019,10353.7204584127
BGR,Bulgaria,2018,9849.38397225174
BGR,Bulgaria,2017,8696.68930427924
BGR,Bulgaria,2016,7822.49923292968
BGR,Bulgaria,2015,7268.65445473873
BOL,Bolivia,2024,4421.16609889999
BOL,Bolivia,2023,4274.70820547613
BOL,Bolivia,2022,4219.46113742445
BOL,Bolivia,2021,4010.76053686204
BOL,Bolivia,2020,3580.96761778303
BOL,Bolivia,2019,4203.15492855788
BOL,Bolivia,2018,4206.8552936661
BOL,Bolivia,2017,4048.40119739839
BOL,Bolivia,2016,3035.87347732132
BOL,Bolivia,2015,2996.01289811344
BRA,Brazil,2024,10310.5488778166
BRA,Brazil,2023,10377.5897719195
BRA,Brazil,2022,9281.33282136864
BRA,Brazil,2021,7972.53696080695
BRA,Brazil,2020,7074.19407495707
BRA,Brazil,2019,9029.83304401079
BRA,Brazil,2018,9300.66072904004
BRA,Brazil,2017,10080.5078722821
BRA,Brazil,2016,8836.28546025694
BRA,Brazil,2015,8936.1955889444
CAN,Canada,2024,54340.3477224733
CAN,Canada,2023,54220.3285039875
CAN,Canada,2022,56256.8007264015
CAN,Canada,2021,52886.6616372703
CAN,Canada,2020,43537.839298904
CAN,Canada,2019,46352.8693445211
CAN,Canada,2018,46539.1761570405
CAN,Canada,2017,45129.628116623
CAN,Canada,2016,42314.0615817218
CAN,Canada,2015,43594.1941045394
CHE,Switzerland,2024,103998.186685604
CHE,Switzerland,2023,100623.549627296
CHE,Switzerland,2022,94394.5106803525
CHE,Switzerland,2021,93664.7736696111
CHE,Switzerland,2020,85897.7843338323
CHE,Switzerland,2019,84121.9310304414
CHE,Switzerland,2018,85217.3691512274
CHE,Switzerland,2017,82254.3769269767
CHE,Switzerland,2016,82153.0745447889
CHE,Switzerland,2015,83806.4476003837
CHL,Chile,2024,16709.8893972307
CHL,Chile,2023,17067.0364799154
CHL,Chile,2022,15405.6165774073
CHL,Chile,2021,16206.8325493421
CHL,Chile,2020,13114.815470545
CHL,Chile,2019,14495.716721687
CHL,Chile,2018,15659.4808675628
CHL,Chile,2017,14879.9086227187
CHL,Chile,2016,13649.8520452803
CHL,Chile,2015,13433.9202987032
CHN,China,2024,13303.1481543868
CHN,China,2023,12951.1782397043
CHN,China,2022,12970.6056414327
CHN,China,2021,12887.4357242941
CHN,China,2020,10627.4637989619
CHN,China,2019,10342.9009524335
CHN,China,2018,10085.6638148819
CHN,China,2017,8979.67652709856
CHN,China,2016,8254.86859320357
CHN,China,2015,8175.33285077393
COL,Colombia,2024,7919.20886825345
COL,Colombia,2023,7000.83660501046
COL,Colombia,2022,6680.44506854481
COL,Colombia,2021,6222.62164397614
COL,Colombia,2020,5339.68711357943
COL,Colombia,2019,6472.54544924705
COL,Colombia,2018,6816.96818309544
COL,Colombia,2017,6479.53231292429
COL,Colombia,2016,5959.84250367574
COL,Colombia,2015,6248.51490534512
CRI,Costa Rica,2024,18587.1532203482
CRI,Costa Rica,2023,16942.0268119375
CRI,Costa Rica,2022,13625.9008491328
CRI,Costa Rica,2021,12838.1185358931
CRI,Costa Rica,2020,12394.0493969492
CRI,Costa Rica,2019,12884.6859951989
CRI,Costa Rica,2018,12590.2493781614
CRI,Costa Rica,2017,12317.0902771304
CRI,Costa Rica,2016,12091.0301606154
CRI,Costa Rica,2015,11714.7105980732
CYP,Cyprus,2024,38674.29296875
CYP,Cyprus,2023,36623.69140625
CYP,Cyprus,2022,33231.04296875
CYP,Cyprus,2021,32937.83984375
CYP,Cyprus,2020,28130.341796875
CYP,Cyprus,2019,29227.173828125
CYP,Cyprus,2018,29120.375
CYP,Cyprus,2017,26247.44921875
CYP,Cyprus,2016,24280.056640625
CYP,Cyprus,2015,23088.44140625
CZE,Czechia,2024,31823.3078290564
CZE,Czechia,2023,31761.5944102491
CZE,Czechia,2022,28282.2236715857
CZE,Czechia,2021,27696.4619527544
CZE,Czechia,2020,23472.8915454417
CZE,Czechia,2019,24062.7190013343
CZE,Czechia,2018,23705.9329811299
CZE,Czechia,2017,20913.197632212
CZE,Czechia,2016,18753.9686718096
CZE,Czechia,2015,17931.5987670768
DEU,Germany,2024,56103.7323182554
DEU,Germany,2023,54776.7668235491
DEU,Germany,2022,50506.5179638543
DEU,Germany,2021,52349.2459994422
DEU,Germany,2020,47394.8734504469
DEU,Germany,2019,47656.199739747
DEU,Germany,2018,48916.1686612154
DEU,Germany,2017,45553.9341495339
DEU,Germany,2016,42948.9381932694
DEU,Germany,2015,41929.7549110722
DNK,Denmark,2024,71026.4832271897
DNK,Denmark,2023,68043.5466971243
DNK,Denmark,2022,67781.0940939514
DNK,Denmark,2021,69340.7334922138
DNK,Denmark,2020,60985.4885601514
DNK,Denmark,2019,59404.2663247723
DNK,Denmark,2018,61324.7665045565
DNK,Denmark,2017,57521.5514992225
DNK,Denmark,2016,54500.9260410217
DNK,Denmark,2015,53094.0133607574
ECU,Ecuador,2024,6874.705739766
ECU,Ecuador,2023,6737.84748379638
ECU,Ecuador,2022,6515.58528418336
ECU,Ecuador,2021,6061.32350181711
ECU,Ecuador,2020,5463.64515348598
ECU,Ecuador,2019,6205.05765246766
ECU,Ecuador,2018,6303.91886658338
ECU,Ecuador,2017,6233.32244797718
ECU,Ecuador,2016,5917.63771271481
ECU,Ecuador,2015,5976.1596805651
EGY,"Egypt, Arab Rep.",2024,3338.47371395895
EGY,"Egypt, Arab Rep.",2023,3456.78968456253
EGY,"Egypt, Arab Rep.",2022,4233.30783744856
EGY,"Egypt, Arab Rep.",2021,3827.35415374308
EGY,"Egypt, Arab Rep.",2020,3511.11381026379
EGY,"Egypt, Arab Rep.",2019,2962.98892023003
EGY,"Egypt, Arab Rep.",2018,2484.70315630508
EGY,"Egypt, Arab Rep.",2017,2395.10333299491
EGY,"Egypt, Arab Rep.",2016,3270.6287768197
EGY,"Egypt, Arab Rep.",2015,3306.98159414141
ESP,Spain,2024,35326.7683069278
ESP,Spain,2023,33493.2225409111
ESP,Spain,2022,30319.4987196616
ESP,Spain,2021,30799.4775937775
ESP,Spain,2020,27233.9426461608
ESP,Spain,2019,29786.5245689007
ESP,Spain,2018,30602.4212881113
ESP,Spain,2017,28381.3425596906
ESP,Spain,2016,26755.6061149398
ESP,Spain,2015,25982.4416197775
EST,Estonia,2024,31428.3547816104
EST,Estonia,2023,30264.0064885057
EST,Estonia,2022,28340.3826549406
EST,Estonia,2021,27951.1659277744
EST,Estonia,2020,23933.9939421065
EST,Estonia,2019,24021.2501413306
EST,Estonia,2018,23618.1361254581
EST,Estonia,2017,20851.5223496861
EST,Estonia,2016,18666.3736521706
EST,Estonia,2015,17722.1557669523
FIN,Finland,2024,53149.7671934051
FIN,Finland,2023,52834.2916752703
FIN,Finland,2022,50440.560224974
FIN,Finland,2021,53099.1351400148
FIN,Finland,2020,48828.6846862799
FIN,Finland,2019,48358.1807773701
FIN,Finland,2018,49654.2497035329
FIN,Finland,2017,46085.0174739036
FIN,Finland,2016,43451.2562442158
FIN,Finland,2015,42560.3456767103
FRA,France,2024,46103.0840855884
FRA,France,2023,44700.1384177544
FRA,France,2022,40988.6396406579
FRA,France,2021,43725.0999521245
FRA,France,2020,39169.8606000707
FRA,France,2019,40408.2848574751
FRA,France,2018,41418.1766484844
FRA,France,2017,38687.1626407164
FRA,France,2016,37024.2157133669
FRA,France,2015,36702.4323733379
GBR,United Kingdom,2024,53246.3676145108
GBR,United Kingdom,2023,49944.4702124201
GBR,United Kingdom,2022,47057.043229179
GBR,United Kingdom,2021,47691.3768799404
GBR,United Kingdom,2020,40812.6794663879
GBR,United Kingdom,2019,43158.7411267323
GBR,United Kingdom,2018,43702.9976303165
GBR,United Kingdom,2017,40916.8115070354
GBR,United Kingdom,2016,41257.9085545556
GBR,United Kingdom,2015,45255.3449216209
GRC,Greece,2024,24626.1481858973
GRC,Greece,2023,23343.7103964562
GRC,Greece,2022,20886.5243087629
GRC,Greece,2021,20654.7001960815
GRC,Greece,2020,17886.733165236
GRC,Greece,2019,19335.3602002969
GRC,Greece,2018,19873.4015238771
GRC,Greece,2017,18631.9930129293
GRC,Greece,2016,17919.2426377048
GRC,Greece,2015,17980.7298238137
GTM,Guatemala,2024,6150.02571438505
GTM,Guatemala,2023,5758.32760847852
GTM,Guatemala,2022,5358.70156997677
GTM,Guatemala,2021,4912.62240414681
GTM,Guatemala,2020,4477.61785000665
GTM,Guatemala,2019,4511.99839552697
GTM,Guatemala,2018,4352.94593289707
GTM,Guatemala,2017,4324.99768915601
GTM,Guatemala,2016,4060.13784737643
GTM,Guatemala,2015,3893.50533299068
HRV,Croatia,2024,24050.4397933135
HRV,Croatia,2023,22184.2279304842
HRV,Croatia,2022,18465.5414420364
HRV,Croatia,2021,17788.7865816658
HRV,Croatia,2020,14807.5608543265
HRV,Croatia,2019,15563.5987295029
HRV,Croatia,2018,15460.3669595491
HRV,Croatia,2017,13901.7878144679
HRV,Croatia,2016,12820.1653893008
HRV,Croatia,2015,12283.7840620053
HUN,Hungary,2024,23292.3263882478
HUN,Hungary,2023,22230.6277875187
HUN,Hungary,2022,18428.028825614
HUN,Hungary,2021,19030.628130329
HUN,Hungary,2020,16386.9308821258
HUN,Hungary,2019,17012.8598553199
HUN,Hungary,2018,16605.0570511887
HUN,Hungary,2017,14736.1668157258
HUN,Hungary,2016,13215.8605277789
HUN,Hungary,2015,12782.9412577973
