titulo,autores,ano,resumo,link
A Survey of Multi-Agent Deep Reinforcement Learning with Communication,Changxi Zhu; Mehdi Dastani; Shihan Wang,2022,"Communication is an effective mechanism for coordinating the behaviors of multiple agents, broadening their views of the environment, and to support their collaborations. In the field of multi-agent deep reinforcement learning (MADRL), agents can improve the overall learning performance and achieve their objectives by communication. Agents can communicate various types of messages, either to all agents or to specific agent groups, or conditioned on specific constraints. With the growing body of ",http://arxiv.org/abs/2203.08975v2
A Methodology to Engineer and Validate Dynamic Multi-level Multi-agent Based Simulations,Jean-Baptiste Soyez; Gildas Morvan; Daniel Dupont; Rochdi Merzouki,2013,"This article proposes a methodology to model and simulate complex systems, based on IRM4MLS, a generic agent-based meta-model able to deal with multi-level systems. This methodology permits the engineering of dynamic multi-level agent-based models, to represent complex systems over several scales and domains of interest. Its goal is to simulate a phenomenon using dynamically the lightest representation to save computer resources without loss of information. This methodology is based on two mecha",http://arxiv.org/abs/1311.5108v1
Augmenting the action space with conventions to improve multi-agent cooperation in Hanabi,F. Bredell; H. A. Engelbrecht; J. C. Schoeman,2024,"The card game Hanabi is considered a strong medium for the testing and development of multi-agent reinforcement learning (MARL) algorithms, due to its cooperative nature, partial observability, limited communication and remarkable complexity. Previous research efforts have explored the capabilities of MARL algorithms within Hanabi, focusing largely on advanced architecture design and algorithmic manipulations to achieve state-of-the-art performance for various number of cooperators. However, thi",http://arxiv.org/abs/2412.06333v3
"Context Engineering for Multi-Agent LLM Code Assistants Using Elicit, NotebookLM, ChatGPT, and Claude Code",Muhammad Haseeb,2025,"Large Language Models (LLMs) have shown promise in automating code generation and software engineering tasks, yet they often struggle with complex, multi-file projects due to context limitations and knowledge gaps. We propose a novel context engineering workflow that combines multiple AI components: an Intent Translator (GPT-5) for clarifying user requirements, an Elicit-powered semantic literature retrieval for injecting domain knowledge, NotebookLM-based document synthesis for contextual under",http://arxiv.org/abs/2508.08322v1
AOAD-MAT: Transformer-based multi-agent deep reinforcement learning model considering agents' order of action decisions,Shota Takayama; Katsuhide Fujita,2025,"Multi-agent reinforcement learning focuses on training the behaviors of multiple learning agents that coexist in a shared environment. Recently, MARL models, such as the Multi-Agent Transformer (MAT) and ACtion dEpendent deep Q-learning (ACE), have significantly improved performance by leveraging sequential decision-making processes. Although these models can enhance performance, they do not explicitly consider the importance of the order in which agents make decisions. In this paper, we propose",http://arxiv.org/abs/2510.13343v1
Small LLMs Are Weak Tool Learners: A Multi-LLM Agent,Weizhou Shen; Chenliang Li; Hongzhan Chen; Ming Yan; Xiaojun Quan,2024,"Large Language Model (LLM) agents significantly extend the capabilities of standalone LLMs, empowering them to interact with external tools (e.g., APIs, functions) and complete various tasks in a self-directed fashion. The challenge of tool use demands that LLMs not only understand user queries and generate answers accurately but also excel in task planning, tool invocation, and result summarization. While traditional works focus on training a single LLM with all these capabilities, performance ",http://arxiv.org/abs/2401.07324v3
MedAide: Information Fusion and Anatomy of Medical Intents via LLM-based Agent Collaboration,Dingkang Yang; Jinjie Wei; Mingcheng Li; Jiyao Liu; Lihao Liu,2024,"In healthcare intelligence, the ability to fuse heterogeneous, multi-intent information from diverse clinical sources is fundamental to building reliable decision-making systems. Large Language Model (LLM)-driven information interaction systems currently showing potential promise in the healthcare domain. Nevertheless, they often suffer from information redundancy and coupling when dealing with complex medical intents, leading to severe hallucinations and performance bottlenecks. To this end, we",http://arxiv.org/abs/2410.12532v3
From Model-Based Screening to Data-Driven Surrogates: A Multi-Stage Workflow for Exploring Stochastic Agent-Based Models,Paul Saves; Matthieu Mastio; Nicolas Verstaevel; Benoit Gaudou,2026,"Systematic exploration of Agent-Based Models (ABMs) is challenged by the curse of dimensionality and their inherent stochasticity. We present a multi-stage pipeline integrating the systematic design of experiments with machine learning surrogates. Using a predator-prey case study, our methodology proceeds in two steps. First, an automated model-based screening identifies dominant variables, assesses outcome variability, and segments the parameter space. Second, we train Machine Learning models t",http://arxiv.org/abs/2604.03350v1
Thucy: An LLM-based Multi-Agent System for Claim Verification across Relational Databases,Michael Theologitis; Dan Suciu,2025,"In today's age, it is becoming increasingly difficult to decipher truth from lies. Every day, politicians, media outlets, and public figures make conflicting claims -- often about topics that can, in principle, be verified against structured data. For instance, statements about crime rates, economic growth or healthcare can all be verified against official public records and structured datasets. Building a system that can automatically do that would have sounded like science fiction just a few y",http://arxiv.org/abs/2512.03278v2
"Don't Just Demo, Teach Me the Principles: A Principle-Based Multi-Agent Prompting Strategy for Text Classification",Peipei Wei; Dimitris Dimitriadis; Yan Xu; Mingwei Shen,2025,"We present PRINCIPLE-BASED PROMPTING, a simple but effective multi-agent prompting strategy for text classification. It first asks multiple LLM agents to independently generate candidate principles based on analysis of demonstration samples with or without labels, consolidates them into final principles via a finalizer agent, and then sends them to a classifier agent to perform downstream classification tasks. Extensive experiments on binary and multi-class classification datasets with different",http://arxiv.org/abs/2502.07165v1
