id_item,codigo_item,descricao_item,valor_unitario,quantidade,valor_total,uasg,modalidade,ano,injetado_anomalia,score_anomalia,predito_anomalia
ITEM-1000000,TI003,Servidor de Armazenamento Rackmount (Enterprise 16TB),36555.6,12,438667.21,170010,Dispensa de Licitação,2025,0,0.32009698984041324,0
ITEM-1000001,TI007,Desenvolvimento de Software Customizado - H/M Sênior,282.02,1800,507632.02,150022,Pregão Eletrônico,2023,0,0.15511799905438828,0
ITEM-1000002,TI002,"Notebook de Alto Desempenho (Intel i7, 32GB RAM, SSD)",6346.14,5,31730.68,250001,Pregão Eletrônico,2021,0,0.22341153812496078,0
ITEM-1000003,TI004,Licença Anual de Sistema Operacional (Windows Pro),939.87,100,93986.75,120040,Pregão Eletrônico,2026,0,0.26232836697607714,0
ITEM-1000004,TI004,Licença Anual de Sistema Operacional (Windows Pro),740.64,150,111096.58,150022,Inexigibilidade,2021,0,0.14650632118413454,0
ITEM-1000005,TI002,"Notebook de Alto Desempenho (Intel i7, 32GB RAM, SSD)",8912.49,10,89124.95,150022,Pregão Eletrônico,2025,0,0.3226914209739577,0
ITEM-1000006,TI002,"Notebook de Alto Desempenho (Intel i7, 32GB RAM, SSD)",7333.57,50,366678.37,120040,Pregão Eletrônico,2022,0,0.26655021454251915,0
ITEM-1000007,TI008,Serviço de Suporte de TI Presencial - Chamado Técnico,186.71,2,373.43,200120,Dispensa de Licitação,2026,0,0.2089960550986179,0
ITEM-1000008,TI004,Licença Anual de Sistema Operacional (Windows Pro),928.37,100,92837.07,201300,Dispensa de Licitação,2024,0,0.27137277602552806,0
ITEM-1000009,TI004,Licença Anual de Sistema Operacional (Windows Pro),874.78,20,17495.68,200120,Dispensa de Licitação,2025,0,0.30646767666885055,0
ITEM-1000010,TI006,Desenvolvimento de Software Customizado - H/M Pleno,176.74,2500,441843.37,150022,Pregão Eletrônico,2026,0,0.10522726426299989,0
ITEM-1000011,TI010,Roteador Wi-Fi Corporate Tri-band de Longo Alcance,1873.49,5,9367.43,170010,Inexigibilidade,2021,0,0.32365382751041305,0
ITEM-1000012,TI003,Servidor de Armazenamento Rackmount (Enterprise 16TB),45759.81,12,549117.71,200120,Pregão Eletrônico,2026,0,0.23306564601391622,0
ITEM-1000013,TI007,Desenvolvimento de Software Customizado - H/M Sênior,197.4,200,39480.64,150022,Pregão Eletrônico,2023,0,0.1401126882715341,0
ITEM-1000014,TI005,Licença Anual de Software Office Suite Cloud,396.99,50,19849.45,170010,Pregão Eletrônico,2022,0,0.29033960095667843,0
ITEM-1000015,TI002,"Notebook de Alto Desempenho (Intel i7, 32GB RAM, SSD)",8683.01,100,868300.99,200120,Pregão Eletrônico,2026,0,0.29207586396271235,0
