numero_contrato,uasg,orgao_nome,porte_orgao,tipo_servico,data_inicio,data_fim_planejado,data_fim_real,dias_vigencia_original,dias_prorrogados,valor_inicial,valor_atual,quantidade_aditivos,atrasado,cancelado,motivo_cancelamento,overrun_percentual,fracasso_institucional,score_risco_fracasso,predito_fracasso
CONTRATO-2026-10000,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Consultoria e Projetos de Inovação,2026-08-28,2027-08-26,2027-11-24,363,90,985836.07,989601.43,1,0,0,Nenhum,0.0038,0,0.17983998886806052,0
CONTRATO-2021-10001,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Suporte Técnico e Manutenção,2021-03-15,2022-03-25,2022-03-25,375,0,620035.15,620035.15,0,0,0,Nenhum,0.0,0,0.06511334466686375,0
CONTRATO-2025-10002,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Consultoria e Projetos de Inovação,2025-10-01,2026-11-19,2027-05-18,414,180,902872.53,1242762.93,3,0,0,Nenhum,0.3765,1,0.6318751261225217,1
CONTRATO-2024-10003,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Desenvolvimento de Software Customizado,2024-10-21,2026-02-25,2026-03-27,492,30,4370502.16,4574190.41,1,0,0,Nenhum,0.0466,0,0.32059388174619974,0
CONTRATO-2023-10004,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Desenvolvimento de Software Customizado,2023-10-24,2025-03-16,2025-03-16,509,0,3590172.23,3590172.23,0,0,0,Nenhum,0.0,0,0.3122839817262187,0
CONTRATO-2022-10005,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Suporte Técnico e Manutenção,2022-06-11,2023-06-24,2023-09-22,378,90,655542.47,665116.89,1,0,0,Nenhum,0.0146,0,0.17890419733656,0
CONTRATO-2026-10006,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Licenças de Software Proprietário,2026-08-15,2027-09-29,2028-05-20,410,234,618332.0,673010.97,1,1,0,Nenhum,0.0884,1,0.2138055413471083,0
CONTRATO-2026-10007,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Hardware e Equipamentos de Rede,2026-01-04,2026-12-26,2026-12-26,356,0,723595.89,723595.89,0,0,0,Nenhum,0.0,0,0.224187540100383,0
CONTRATO-2026-10008,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Licenças de Software Proprietário,2026-02-04,2027-03-21,2027-03-21,410,0,474143.26,474143.26,0,0,0,Nenhum,0.0,0,0.025556166870981195,0
CONTRATO-2022-10009,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Suporte Técnico e Manutenção,2022-05-15,2023-06-07,2023-06-07,388,0,674987.78,674987.78,0,0,0,Nenhum,0.0,0,0.2400567194896297,0
CONTRATO-2021-10010,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Desenvolvimento de Software Customizado,2021-12-24,2023-06-23,2023-08-13,546,51,4841673.32,2836166.78,0,0,1,Consensual,-0.4142,1,0.45709733090088606,0
CONTRATO-2025-10011,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Consultoria e Projetos de Inovação,2025-08-12,2026-08-14,2026-08-14,367,0,1234155.97,1234155.97,0,0,0,Nenhum,0.0,0,0.18395599067808963,0
CONTRATO-2025-10012,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Consultoria e Projetos de Inovação,2025-10-16,2026-10-06,2026-10-06,355,0,2009267.08,2009267.08,0,0,0,Nenhum,0.0,0,0.2641345213231567,0
CONTRATO-2021-10013,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Suporte Técnico e Manutenção,2021-06-23,2022-05-17,2022-05-17,328,0,192205.27,192205.27,0,0,0,Nenhum,0.0,0,0.13473016057515996,0
CONTRATO-2025-10014,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Consultoria e Projetos de Inovação,2025-07-01,2026-08-07,2026-08-07,402,0,1460847.38,1460847.38,0,0,0,Nenhum,0.0,0,0.5087509431425586,1
CONTRATO-2026-10015,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Licenças de Software Proprietário,2026-05-22,2027-06-18,2027-06-18,392,0,363527.64,363527.64,0,0,0,Nenhum,0.0,0,0.07566659853662637,0
CONTRATO-2023-10016,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Licenças de Software Proprietário,2023-12-09,2024-12-07,2025-01-11,364,35,372842.71,130106.88,2,0,1,Inexecução Total,-0.651,1,0.15664269087048333,0
CONTRATO-2023-10017,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Hardware e Equipamentos de Rede,2023-07-06,2024-05-28,2024-05-28,327,0,817277.89,817277.89,0,0,0,Nenhum,0.0,0,0.026007352816467696,0
CONTRATO-2026-10018,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Hardware e Equipamentos de Rede,2026-03-14,2027-02-25,2027-02-25,348,0,913669.92,913669.92,0,0,0,Nenhum,0.0,0,0.013135429403196458,0
CONTRATO-2021-10019,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Nuvem e Infraestrutura de TI,2021-07-10,2023-07-19,2024-07-13,739,360,3351234.27,4327932.36,4,0,0,Nenhum,0.2914,1,0.3895009602013908,0
CONTRATO-2025-10020,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Consultoria e Projetos de Inovação,2025-10-04,2026-10-07,2027-07-04,368,270,1188568.53,1574262.91,3,0,0,Nenhum,0.3245,1,0.3932128581803689,0
CONTRATO-2023-10021,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Suporte Técnico e Manutenção,2023-08-05,2024-07-31,2024-07-31,361,0,716943.48,716943.48,0,0,0,Nenhum,0.0,0,0.12533984206541185,0
