uasg,orgao,porte,data,volume_contratado_ti_milhares,quantidade_processos,pressao_controle_tcu,volume_impugnacoes,latencia_media_dias,pressao_tcu_lag1,pressao_tcu_lag2
150000,Instituto Federal Região 1,Pequeno,2021-01-01,58.23,1,3,0,163.13,3,3
150000,Instituto Federal Região 1,Pequeno,2021-02-01,171.7,1,2,0,148.14,3,3
150000,Instituto Federal Região 1,Pequeno,2021-03-01,364.07,1,2,0,121.37,2,3
150000,Instituto Federal Região 1,Pequeno,2021-04-01,236.42,2,0,0,92.88,2,2
150000,Instituto Federal Região 1,Pequeno,2021-05-01,296.45,3,0,0,105.19,0,2
150000,Instituto Federal Região 1,Pequeno,2021-06-01,258.03,1,4,1,163.02,0,0
150000,Instituto Federal Região 1,Pequeno,2021-07-01,1232.83,6,1,0,117.57,4,0
150000,Instituto Federal Região 1,Pequeno,2021-08-01,106.37,1,2,0,124.59,1,4
150000,Instituto Federal Região 1,Pequeno,2021-09-01,683.21,2,4,0,148.66,2,1
150000,Instituto Federal Região 1,Pequeno,2021-10-01,452.54,6,1,2,134.0,4,2
150000,Instituto Federal Região 1,Pequeno,2021-11-01,2196.09,8,1,0,106.28,1,4
150000,Instituto Federal Região 1,Pequeno,2021-12-01,62.57,1,2,0,113.36,1,1
150000,Instituto Federal Região 1,Pequeno,2022-01-01,80.79,1,3,0,144.19,2,1
150000,Instituto Federal Região 1,Pequeno,2022-02-01,2042.18,5,1,2,147.85,3,2
150000,Instituto Federal Região 1,Pequeno,2022-03-01,52.78,1,1,0,120.87,1,3
150000,Instituto Federal Região 1,Pequeno,2022-04-01,427.16,1,2,0,129.09,1,1
150000,Instituto Federal Região 1,Pequeno,2022-05-01,129.51,2,3,0,126.92,2,1
150000,Instituto Federal Região 1,Pequeno,2022-06-01,107.96,1,5,1,148.76,3,2
150000,Instituto Federal Região 1,Pequeno,2022-07-01,264.31,1,3,1,150.94,5,3
150000,Instituto Federal Região 1,Pequeno,2022-08-01,66.31,1,0,0,121.14,3,5
150000,Instituto Federal Região 1,Pequeno,2022-09-01,424.69,1,5,1,149.34,0,3
150000,Instituto Federal Região 1,Pequeno,2022-10-01,1569.97,5,1,2,139.3,5,0
150000,Instituto Federal Região 1,Pequeno,2022-11-01,2044.22,5,3,3,138.5,1,5
150000,Instituto Federal Região 1,Pequeno,2022-12-01,53.68,1,3,1,112.76,3,1
150000,Instituto Federal Região 1,Pequeno,2023-01-01,139.71,1,2,0,150.39,3,3
150000,Instituto Federal Região 1,Pequeno,2023-02-01,591.26,3,3,0,161.1,2,3
150000,Instituto Federal Região 1,Pequeno,2023-03-01,486.93,3,3,1,144.71,3,2
150000,Instituto Federal Região 1,Pequeno,2023-04-01,198.06,1,0,2,111.54,3,3
150000,Instituto Federal Região 1,Pequeno,2023-05-01,588.99,5,0,0,106.43,0,3
150000,Instituto Federal Região 1,Pequeno,2023-06-01,657.61,2,7,2,184.75,0,0
150000,Instituto Federal Região 1,Pequeno,2023-07-01,370.4,2,5,2,162.76,7,0
150000,Instituto Federal Região 1,Pequeno,2023-08-01,267.06,1,1,0,119.91,5,7
150000,Instituto Federal Região 1,Pequeno,2023-09-01,358.0,1,5,1,157.21,1,5
150000,Instituto Federal Região 1,Pequeno,2023-10-01,1524.86,5,2,1,122.58,5,1
150000,Instituto Federal Região 1,Pequeno,2023-11-01,715.91,6,5,0,126.33,2,5
150000,Instituto Federal Região 1,Pequeno,2023-12-01,863.89,2,1,0,111.79,5,2
150000,Instituto Federal Região 1,Pequeno,2024-01-01,239.67,1,5,0,171.05,1,5
150000,Instituto Federal Região 1,Pequeno,2024-02-01,304.04,1,3,0,156.7,5,1
150000,Instituto Federal Região 1,Pequeno,2024-03-01,568.62,2,1,0,116.88,3,5
150000,Instituto Federal Região 1,Pequeno,2024-04-01,180.62,2,7,0,169.99,1,3
150000,Instituto Federal Região 1,Pequeno,2024-05-01,387.95,1,0,0,108.34,7,1
150000,Instituto Federal Região 1,Pequeno,2024-06-01,328.69,1,4,0,140.06,0,7
150000,Instituto Federal Região 1,Pequeno,2024-07-01,1266.91,3,5,0,147.15,4,0
150000,Instituto Federal Região 1,Pequeno,2024-08-01,108.67,2,5,1,166.0,5,4
150000,Instituto Federal Região 1,Pequeno,2024-09-01,350.95,1,8,0,187.64,5,5
150000,Instituto Federal Região 1,Pequeno,2024-10-01,643.18,6,4,2,142.83,8,5
150000,Instituto Federal Região 1,Pequeno,2024-11-01,2250.72,6,3,2,112.32,4,8
150000,Instituto Federal Região 1,Pequeno,2024-12-01,247.05,1,5,1,125.44,3,4
150000,Instituto Federal Região 1,Pequeno,2025-01-01,348.42,1,1,0,136.08,5,3
150000,Instituto Federal Região 1,Pequeno,2025-02-01,271.54,1,7,3,190.48,1,5
150000,Instituto Federal Região 1,Pequeno,2025-03-01,125.25,1,8,2,174.78,7,1
150000,Instituto Federal Região 1,Pequeno,2025-04-01,1657.48,4,3,2,150.17,8,7
150000,Instituto Federal Região 1,Pequeno,2025-05-01,202.36,1,7,0,171.86,3,8
150000,Instituto Federal Região 1,Pequeno,2025-06-01,609.98,6,9,2,186.12,7,3
150000,Instituto Federal Região 1,Pequeno,2025-07-01,422.79,2,6,2,177.61,9,7
150000,Instituto Federal Região 1,Pequeno,2025-08-01,167.45,3,1,0,119.83,6,9
150000,Instituto Federal Região 1,Pequeno,2025-09-01,306.6,2,9,2,194.78,1,6
150000,Instituto Federal Região 1,Pequeno,2025-10-01,553.81,5,6,0,167.37,9,1
150000,Instituto Federal Região 1,Pequeno,2025-11-01,845.63,7,3,0,111.26,6,9
150000,Instituto Federal Região 1,Pequeno,2025-12-01,251.37,1,2,0,100.66,3,6
150001,Instituto Federal Região 2,Pequeno,2021-01-01,698.61,2,1,2,148.71,4,4
150001,Instituto Federal Região 2,Pequeno,2021-02-01,243.81,1,0,0,120.04,1,4
150001,Instituto Federal Região 2,Pequeno,2021-03-01,254.67,1,2,0,131.61,0,1
150001,Instituto Federal Região 2,Pequeno,2021-04-01,157.7,1,1,0,120.99,2,0
150001,Instituto Federal Região 2,Pequeno,2021-05-01,365.67,1,1,0,132.0,1,2
150001,Instituto Federal Região 2,Pequeno,2021-06-01,202.06,2,4,0,151.05,1,1
150001,Instituto Federal Região 2,Pequeno,2021-07-01,222.29,2,1,1,119.81,4,1
150001,Instituto Federal Região 2,Pequeno,2021-08-01,119.35,1,1,0,116.59,1,4
150001,Instituto Federal Região 2,Pequeno,2021-09-01,396.2,1,4,1,151.32,1,1
150001,Instituto Federal Região 2,Pequeno,2021-10-01,1393.23,5,1,2,126.22,4,1
150001,Instituto Federal Região 2,Pequeno,2021-11-01,734.82,5,1,0,100.74,1,4
150001,Instituto Federal Região 2,Pequeno,2021-12-01,111.75,1,0,0,68.07,1,1
150001,Instituto Federal Região 2,Pequeno,2022-01-01,322.6,1,2,0,137.18,0,1
150001,Instituto Federal Região 2,Pequeno,2022-02-01,684.69,2,3,1,160.78,2,0
150001,Instituto Federal Região 2,Pequeno,2022-03-01,1127.49,3,2,1,128.65,3,2
150001,Instituto Federal Região 2,Pequeno,2022-04-01,341.1,2,4,0,141.45,2,3
150001,Instituto Federal Região 2,Pequeno,2022-05-01,211.42,2,2,1,119.37,4,2
150001,Instituto Federal Região 2,Pequeno,2022-06-01,277.96,1,8,1,191.35,2,4
150001,Instituto Federal Região 2,Pequeno,2022-07-01,141.7,1,4,0,140.45,8,2
150001,Instituto Federal Região 2,Pequeno,2022-08-01,234.8,1,5,2,163.92,4,8
150001,Instituto Federal Região 2,Pequeno,2022-09-01,222.03,2,5,3,166.83,5,4
150001,Instituto Federal Região 2,Pequeno,2022-10-01,2510.02,6,5,2,164.44,5,5
150001,Instituto Federal Região 2,Pequeno,2022-11-01,1589.75,6,4,0,115.9,5,5
150001,Instituto Federal Região 2,Pequeno,2022-12-01,106.34,1,3,0,102.26,4,5
150001,Instituto Federal Região 2,Pequeno,2023-01-01,868.86,2,2,1,138.06,3,4
150001,Instituto Federal Região 2,Pequeno,2023-02-01,1227.67,3,2,1,150.33,2,3
150001,Instituto Federal Região 2,Pequeno,2023-03-01,360.21,1,1,0,112.8,2,2
150001,Instituto Federal Região 2,Pequeno,2023-04-01,394.71,1,3,0,136.35,1,2
150001,Instituto Federal Região 2,Pequeno,2023-05-01,60.84,1,4,0,151.49,3,1
150001,Instituto Federal Região 2,Pequeno,2023-06-01,369.97,1,5,0,162.67,4,3
150001,Instituto Federal Região 2,Pequeno,2023-07-01,382.09,1,2,0,132.69,5,4
150001,Instituto Federal Região 2,Pequeno,2023-08-01,133.15,1,3,0,139.05,2,5
150001,Instituto Federal Região 2,Pequeno,2023-09-01,376.98,1,3,0,142.89,3,2
150001,Instituto Federal Região 2,Pequeno,2023-10-01,1624.91,6,2,1,129.72,3,3
150001,Instituto Federal Região 2,Pequeno,2023-11-01,2730.52,9,4,0,126.46,2,3
150001,Instituto Federal Região 2,Pequeno,2023-12-01,172.07,3,1,0,84.82,4,2
150001,Instituto Federal Região 2,Pequeno,2024-01-01,870.62,3,3,0,152.55,1,4
150001,Instituto Federal Região 2,Pequeno,2024-02-01,345.21,1,4,0,166.86,3,1
150001,Instituto Federal Região 2,Pequeno,2024-03-01,276.56,1,2,0,119.19,4,3
150001,Instituto Federal Região 2,Pequeno,2024-04-01,248.55,1,5,1,165.13,2,4
150001,Instituto Federal Região 2,Pequeno,2024-05-01,148.56,1,3,1,134.68,5,2
150001,Instituto Federal Região 2,Pequeno,2024-06-01,266.76,1,9,2,209.4,3,5
150001,Instituto Federal Região 2,Pequeno,2024-07-01,127.16,2,8,2,192.95,9,3
150001,Instituto Federal Região 2,Pequeno,2024-08-01,98.23,1,8,1,183.27,8,9
150001,Instituto Federal Região 2,Pequeno,2024-09-01,177.5,1,5,0,164.08,8,8
150001,Instituto Federal Região 2,Pequeno,2024-10-01,2141.25,6,4,5,166.57,5,8
150001,Instituto Federal Região 2,Pequeno,2024-11-01,1011.14,6,7,0,138.74,4,5
150001,Instituto Federal Região 2,Pequeno,2024-12-01,203.73,1,1,1,95.35,7,4
150001,Instituto Federal Região 2,Pequeno,2025-01-01,879.28,3,5,0,168.83,1,7
150001,Instituto Federal Região 2,Pequeno,2025-02-01,73.14,1,3,1,158.64,5,1
150001,Instituto Federal Região 2,Pequeno,2025-03-01,282.03,1,8,0,196.86,3,5
150001,Instituto Federal Região 2,Pequeno,2025-04-01,1066.91,5,3,0,143.0,8,3
150001,Instituto Federal Região 2,Pequeno,2025-05-01,242.23,1,4,1,148.07,3,8
150001,Instituto Federal Região 2,Pequeno,2025-06-01,2011.74,5,11,2,221.41,4,3
150001,Instituto Federal Região 2,Pequeno,2025-07-01,252.99,1,3,0,138.85,11,4
150001,Instituto Federal Região 2,Pequeno,2025-08-01,153.92,1,0,1,117.4,3,11
150001,Instituto Federal Região 2,Pequeno,2025-09-01,153.88,2,10,2,211.99,0,3
150001,Instituto Federal Região 2,Pequeno,2025-10-01,529.64,9,3,1,131.49,10,0
150001,Instituto Federal Região 2,Pequeno,2025-11-01,1870.83,6,7,2,159.85,3,10
150001,Instituto Federal Região 2,Pequeno,2025-12-01,443.59,1,5,0,127.99,7,3
150002,Instituto Federal Região 3,Pequeno,2021-01-01,395.74,1,2,0,131.99,4,4
150002,Instituto Federal Região 3,Pequeno,2021-02-01,315.05,5,2,0,153.55,2,4
150002,Instituto Federal Região 3,Pequeno,2021-03-01,130.21,1,3,0,130.09,2,2
150002,Instituto Federal Região 3,Pequeno,2021-04-01,232.09,1,1,1,137.11,3,2
150002,Instituto Federal Região 3,Pequeno,2021-05-01,166.67,1,0,0,129.78,1,3
150002,Instituto Federal Região 3,Pequeno,2021-06-01,444.67,1,6,0,157.03,0,1
150002,Instituto Federal Região 3,Pequeno,2021-07-01,380.5,2,0,0,102.99,6,0
150002,Instituto Federal Região 3,Pequeno,2021-08-01,103.09,1,0,0,110.3,0,6
150002,Instituto Federal Região 3,Pequeno,2021-09-01,62.63,1,6,0,172.19,0,0
150002,Instituto Federal Região 3,Pequeno,2021-10-01,3007.44,8,1,1,130.1,6,0
150002,Instituto Federal Região 3,Pequeno,2021-11-01,3189.71,8,0,2,93.19,1,6
150002,Instituto Federal Região 3,Pequeno,2021-12-01,498.56,2,0,1,90.33,0,1
150002,Instituto Federal Região 3,Pequeno,2022-01-01,1022.6,3,2,1,154.93,0,0
150002,Instituto Federal Região 3,Pequeno,2022-02-01,225.45,1,3,1,153.81,2,0
150002,Instituto Federal Região 3,Pequeno,2022-03-01,672.66,2,5,1,151.7,3,2
150002,Instituto Federal Região 3,Pequeno,2022-04-01,148.89,1,2,1,134.37,5,3
150002,Instituto Federal Região 3,Pequeno,2022-05-01,359.39,1,3,0,125.14,2,5
150002,Instituto Federal Região 3,Pequeno,2022-06-01,117.9,1,5,0,161.79,3,2
150002,Instituto Federal Região 3,Pequeno,2022-07-01,117.05,1,3,0,128.79,5,3
150002,Instituto Federal Região 3,Pequeno,2022-08-01,568.28,2,0,1,118.37,3,5
150002,Instituto Federal Região 3,Pequeno,2022-09-01,65.74,1,5,0,158.32,0,3
150002,Instituto Federal Região 3,Pequeno,2022-10-01,765.36,7,1,0,118.92,5,0
150002,Instituto Federal Região 3,Pequeno,2022-11-01,1045.93,8,2,2,124.27,1,5
150002,Instituto Federal Região 3,Pequeno,2022-12-01,654.1,2,2,0,98.68,2,1
150002,Instituto Federal Região 3,Pequeno,2023-01-01,939.41,3,7,1,182.53,2,2
150002,Instituto Federal Região 3,Pequeno,2023-02-01,542.44,3,3,1,157.07,7,2
150002,Instituto Federal Região 3,Pequeno,2023-03-01,328.19,1,6,0,150.78,3,7
150002,Instituto Federal Região 3,Pequeno,2023-04-01,291.38,1,2,0,113.85,6,3
150002,Instituto Federal Região 3,Pequeno,2023-05-01,282.07,1,5,0,141.38,2,6
150002,Instituto Federal Região 3,Pequeno,2023-06-01,308.99,1,9,0,173.34,5,2
150002,Instituto Federal Região 3,Pequeno,2023-07-01,345.83,2,3,0,128.54,9,5
150002,Instituto Federal Região 3,Pequeno,2023-08-01,322.45,1,5,0,144.63,3,9
150002,Instituto Federal Região 3,Pequeno,2023-09-01,67.37,1,6,1,166.99,5,3
150002,Instituto Federal Região 3,Pequeno,2023-10-01,2173.26,6,6,3,184.51,6,5
150002,Instituto Federal Região 3,Pequeno,2023-11-01,820.18,6,4,1,133.27,6,6
150002,Instituto Federal Região 3,Pequeno,2023-12-01,412.72,2,1,0,101.81,4,6
150002,Instituto Federal Região 3,Pequeno,2024-01-01,562.71,2,5,1,174.12,1,4
150002,Instituto Federal Região 3,Pequeno,2024-02-01,140.66,1,2,0,137.73,5,1
150002,Instituto Federal Região 3,Pequeno,2024-03-01,310.35,1,2,1,139.45,2,5
150002,Instituto Federal Região 3,Pequeno,2024-04-01,652.0,2,6,2,170.27,2,2
150002,Instituto Federal Região 3,Pequeno,2024-05-01,893.99,2,2,1,122.46,6,2
150002,Instituto Federal Região 3,Pequeno,2024-06-01,171.25,1,8,3,188.07,2,6
150002,Instituto Federal Região 3,Pequeno,2024-07-01,512.54,2,2,0,144.25,8,2
150002,Instituto Federal Região 3,Pequeno,2024-08-01,164.74,2,6,3,164.55,2,8
