id_contrato,uasg,ano_assinatura,tipo_objeto,uso_copiloto_ia,experiencia_gestor_anos,valor_contrato,duracao_planejada_dias,tempo_observado_dias,evento_rescisao
CTR_2019000000,150096,2025,TI Tradicional,0,8,559877.27,730,730,0
CTR_2019000001,150093,2023,TI Tradicional,1,7,390913.7,1095,1095,0
CTR_2019000002,150030,2024,TI Tradicional,0,9,830656.23,1095,1095,0
CTR_2019000003,150074,2025,TI Tradicional,0,8,1187547.19,1095,1095,0
CTR_2019000004,150039,2022,TI Tradicional,0,9,655239.63,1460,1460,0
CTR_2019000005,150076,2019,TI Tradicional,0,7,280235.3,1095,1095,0
CTR_2019000006,150036,2024,Inovação,1,7,3861104.97,730,730,0
CTR_2019000007,150087,2024,Inovação,1,7,720918.25,730,730,0
CTR_2019000008,150095,2024,TI Tradicional,0,1,1366978.79,365,46,1
CTR_2019000009,150072,2024,TI Tradicional,1,3,5129038.41,365,365,0
CTR_2019000010,150004,2024,TI Tradicional,1,10,1575241.08,730,730,0
CTR_2019000011,150072,2019,TI Tradicional,0,11,1581434.46,365,365,0
CTR_2019000012,150004,2021,TI Tradicional,0,3,3451039.95,730,730,0
CTR_2019000013,150053,2023,TI Tradicional,1,2,788031.33,365,365,0
CTR_2019000014,150037,2025,TI Tradicional,0,8,711693.83,1460,1460,0
CTR_2019000015,150029,2024,TI Tradicional,1,3,2233183.77,1095,1095,0
CTR_2019000016,150058,2024,TI Tradicional,1,8,869828.25,365,365,0
CTR_2019000017,150089,2025,TI Tradicional,1,6,1103101.31,730,730,0
CTR_2019000018,150098,2023,Inovação,1,9,4659381.29,365,365,0
CTR_2019000019,150036,2020,TI Tradicional,0,9,1238705.83,730,730,0
CTR_2019000020,150023,2021,TI Tradicional,0,13,1004199.57,1095,1095,0
CTR_2019000021,150056,2022,TI Tradicional,0,10,451822.13,1095,1095,0
CTR_2019000022,150018,2023,TI Tradicional,1,10,2620686.28,1460,1460,0
CTR_2019000023,150021,2022,TI Tradicional,0,6,1506327.94,730,730,0
CTR_2019000024,150026,2024,TI Tradicional,0,5,601341.97,365,365,0
CTR_2019000025,150028,2024,TI Tradicional,0,14,895796.41,730,730,0
CTR_2019000026,150048,2019,TI Tradicional,0,8,706230.37,730,730,0
CTR_2019000027,150022,2024,TI Tradicional,0,11,469962.9,730,730,0
CTR_2019000028,150042,2022,TI Tradicional,0,11,344747.15,730,730,0
CTR_2019000029,150088,2025,TI Tradicional,1,10,862285.11,730,730,0
CTR_2019000030,150065,2021,TI Tradicional,0,4,4259782.62,1460,1009,1
CTR_2019000031,150074,2022,TI Tradicional,0,9,2040926.81,365,365,0
CTR_2019000032,150033,2019,TI Tradicional,0,9,1080191.35,365,365,0
CTR_2019000033,150083,2024,TI Tradicional,1,5,1179312.15,730,730,0
CTR_2019000034,150018,2021,TI Tradicional,0,5,440110.34,365,365,0
CTR_2019000035,150074,2021,TI Tradicional,0,10,2089157.97,1460,1460,0
CTR_2019000036,150047,2024,TI Tradicional,1,7,3668361.67,365,365,0
CTR_2019000037,150068,2019,Inovação,0,7,1017213.29,365,365,0
CTR_2019000038,150070,2022,TI Tradicional,0,9,686685.49,730,730,0
CTR_2019000039,150089,2024,TI Tradicional,1,7,723584.27,730,730,0
CTR_2019000040,150043,2023,Inovação,1,13,4891573.06,1460,1460,0
CTR_2019000041,150031,2024,TI Tradicional,1,9,545651.66,365,365,0
CTR_2019000042,150026,2025,TI Tradicional,1,13,1361629.23,730,730,0
CTR_2019000043,150012,2020,TI Tradicional,0,8,4558850.92,365,365,0
CTR_2019000044,150088,2022,Inovação,0,10,1684109.78,730,730,0
CTR_2019000045,150098,2022,TI Tradicional,0,7,870644.09,730,292,1
CTR_2019000046,150058,2022,Inovação,0,4,1767808.33,1460,165,1
CTR_2019000047,150098,2023,TI Tradicional,0,1,264582.82,1095,1095,0
CTR_2019000048,150008,2025,TI Tradicional,1,8,948602.53,365,365,0
CTR_2019000049,150067,2024,TI Tradicional,1,9,636938.47,365,365,0
CTR_2019000050,150064,2019,TI Tradicional,0,11,325695.79,1095,763,1
CTR_2019000051,150054,2023,TI Tradicional,0,3,1643775.47,730,730,0
CTR_2019000052,150087,2019,TI Tradicional,0,7,1323718.5,365,365,0
CTR_2019000053,150083,2022,TI Tradicional,0,6,2279628.33,730,730,0
CTR_2019000054,150063,2022,TI Tradicional,0,4,2870984.37,1460,358,1
CTR_2019000055,150041,2024,TI Tradicional,1,6,568232.37,730,730,0
CTR_2019000056,150023,2024,TI Tradicional,1,4,766823.64,730,730,0
CTR_2019000057,150059,2024,TI Tradicional,0,13,640210.61,730,730,0
CTR_2019000058,150007,2025,TI Tradicional,1,8,341816.6,365,365,0
CTR_2019000059,150098,2020,TI Tradicional,0,6,234194.28,365,365,0
CTR_2019000060,150040,2024,TI Tradicional,0,7,743816.71,730,730,0
CTR_2019000061,150005,2023,TI Tradicional,1,5,6558920.34,365,365,0
CTR_2019000062,150090,2024,TI Tradicional,0,10,736181.77,365,365,0
CTR_2019000063,150037,2025,TI Tradicional,0,4,3002694.36,365,365,0
CTR_2019000064,150021,2021,Inovação,0,8,1784876.94,1460,1460,0
CTR_2019000065,150012,2021,TI Tradicional,0,14,1141779.9,365,365,0
CTR_2019000066,150063,2019,TI Tradicional,0,8,1789330.47,365,365,0
