id_licitacao,orgao,categoria,valor_licitacao,num_concorrentes,dias_planejamento,historico_sancoes_vencedor,exclusividade_mei_me,criterio_julgamento,complexidade_textual,risco_irregularidade,risco_predito,probabilidade_risco
LIC-20260000,Ministério da Educação,Desenvolvimento de Software,487018.3,4,42,0,0,0,0.6013,0,0,0.0020863785458340085
LIC-20260001,Prefeitura Metropolitana,Serviços de Cloud Computing,50000.0,4,34,0,0,0,0.434,0,0,0.007139177418605148
LIC-20260002,Tribunal de Justiça,Serviços de Cloud Computing,130513.71,4,40,1,0,0,0.9623,1,1,0.8278602212070154
LIC-20260003,Ministério da Educação,Consultoria em Governança,329602.26,2,29,0,1,0,0.7729,0,0,0.12718811347691608
LIC-20260004,Ministério da Educação,Segurança da Informação,119097.0,2,54,0,1,0,0.7033,0,0,0.1002265412776933
LIC-20260005,Secretaria de Infraestrutura,Desenvolvimento de Software,214745.57,6,59,0,1,0,0.8459,0,0,0.022059952248173413
LIC-20260006,Ministério da Saúde,Desenvolvimento de Software,297883.12,6,40,0,0,0,0.7652,0,0,0.002506872557580807
LIC-20260007,Tribunal de Justiça,Serviços de Cloud Computing,858012.54,5,49,0,0,0,0.8063,0,0,0.008696523985910741
LIC-20260008,Ministério da Saúde,Segurança da Informação,347293.87,7,14,0,0,0,0.6713,0,0,0.09346302231467231
LIC-20260009,Tribunal de Justiça,Consultoria em Governança,661535.97,6,37,0,0,0,0.8057,0,0,0.00818237946427811
LIC-20260010,Secretaria de Infraestrutura,Serviços de Cloud Computing,74999.41,5,52,1,1,0,0.7494,0,0,0.4053230999234278
LIC-20260011,Defensoria Pública,Segurança da Informação,209600.78,10,49,0,0,0,0.8559,0,0,0.01859954056789819
LIC-20260012,Prefeitura Metropolitana,Desenvolvimento de Software,108943.5,7,28,0,1,0,0.6398,0,0,0.004850144445416093
LIC-20260013,Ministério da Tecnologia,Consultoria em Governança,7019503.17,2,45,0,1,1,0.7433,1,1,0.5706776643961846
LIC-20260014,Secretaria de Infraestrutura,Equipamentos de TI,97134.08,7,22,0,1,0,0.809,0,0,0.018984617897657426
LIC-20260015,Prefeitura Metropolitana,Serviços de Cloud Computing,1409020.76,12,33,0,0,0,0.6055,0,0,0.002610610569078792
LIC-20260016,Tribunal de Justiça,Equipamentos de TI,91881.56,5,39,0,0,0,0.4414,0,0,0.005591221460879746
LIC-20260017,Ministério da Educação,Desenvolvimento de Software,233822.2,5,37,0,1,0,0.3544,0,0,0.006543969847743857
LIC-20260018,Secretaria de Infraestrutura,Desenvolvimento de Software,111648.44,2,25,0,0,1,0.4341,0,0,0.1055048850286438
LIC-20260019,Governo Estadual,Equipamentos de TI,236536.5,4,66,0,1,0,0.5319,0,0,0.0037988468076280467
LIC-20260020,Prefeitura Metropolitana,Desenvolvimento de Software,583380.69,9,46,0,0,0,0.8433,0,0,0.013025652162342744
LIC-20260021,Defensoria Pública,Segurança da Informação,743796.32,7,56,1,0,0,0.7116,0,0,0.25708710756093933
LIC-20260022,Ministério da Educação,Suporte Técnico e Helpdesk,1729653.63,7,38,0,1,0,0.7822,0,0,0.0019770292042274114
LIC-20260023,Ministério da Educação,Segurança da Informação,3304728.01,6,34,0,0,1,0.642,0,0,0.008574246882182921
LIC-20260024,Prefeitura Metropolitana,Consultoria em Governança,360036.21,3,37,0,1,0,0.8717,0,0,0.0181718999582815
LIC-20260025,Governo Estadual,Segurança da Informação,1372485.16,5,40,0,0,0,0.5439,0,0,0.0028355604646539763
LIC-20260026,Tribunal de Justiça,Consultoria em Governança,235505.09,4,51,1,0,1,0.7543,0,0,0.30868201951725954
LIC-20260027,Ministério da Educação,Desenvolvimento de Software,487769.36,6,43,0,0,0,0.6773,0,0,0.002069047362704181
LIC-20260028,Tribunal de Justiça,Equipamentos de TI,404378.73,9,73,1,1,0,0.7725,0,0,0.23160800728348988
