titulo,autores,ano,periodico,citacoes,doi,url,open_access,keywords,areas_tematicas,query_busca,openalex_id
A design science approach to developing and determining web site quality dimensions for the public accounting profession,Casty K Nyaga,2007,Australasian Journal of Paramedicine,0,,,Sim,Usability; Quality (philosophy); Interactivity; Knowledge management; Business,Usability; Quality (philosophy); Interactivity,"""Design Science Research"" ""public accounting""",https://openalex.org/W1529453028
Reducing the High Failure Rate (50%) of RPA Implementation Projects: A Real-World Application Using Design Science Research,Driss Camara,2025,International Journal of Business and Management,0,https://doi.org/10.5539/ijbm.v20n6p33,https://doi.org/10.5539/ijbm.v20n6p33,Sim,Agile software development; Virtuous circle and vicious circle; Design science research; Software deployment; Process (computing),Agile software development; Virtuous circle and vicious circle; Design science research,"""Design Science Research"" ""public accounting""",https://openalex.org/W4414831105
Transforming Accounting and Business Applications With AI: BERT Framework Injection Into LLMs for GenAI Model Agents,Karina Kasztelnik; A. J. Kamssu,2025,Touro Scholar (Touro College),0,,,Sim,Business rule; Business model; Accounting information system; Management accounting; Database transaction,Business rule; Business model; Accounting,"""Design Science Research"" ""public accounting""",https://openalex.org/W7160471536
Auditing Artificial Intelligence: Context Engineering with Retrieval-Augmented Generation,Mark D. Sheldon,2026,Journal of Information Systems,0,https://doi.org/10.2308/isys-2025-045,https://doi.org/10.2308/isys-2025-045,Sim,Audit; Context (archaeology); Control (management); Inference; Process (computing),Computer science; Audit; Context (archaeology),"""Design Science Research"" ""public accounting""",https://openalex.org/W7128698441
Analyzing e-government design science artifacts: A systematic literature review,Lemuria Carter; Victoria Yoon; Dapeng Liu,2021,International Journal of Information Management,51,https://doi.org/10.1016/j.ijinfomgt.2021.102430,https://doi.org/10.1016/j.ijinfomgt.2021.102430,Não,Popularity; Government (linguistics); Relevance (law); Design science research; Computer science,Popularity; Government (linguistics); Relevance (law),"""Design Science Research"" ""public administration""",https://openalex.org/W3203440369
Modularization of Digital Services for Urban Transportation,Maximilian Schreieck; Manuel Wiesche; Helmut Krcmar,2016,Journal of the Association for Information Systems,21,,,Não,Services computing; Modular programming; Service (business); Computer science; Service design,Services computing; Modular programming; Service (business),"""Design Science Research"" ""public administration""",https://openalex.org/W2512223452
Which technology to which challenge in democratic governance? An approach using design science research,Maria Anastasiadou; Vítor Santos; Filipe Montargil,2021,Transforming Government People Process and Policy,23,https://doi.org/10.1108/tg-03-2020-0045,https://doi.org/10.1108/tg-03-2020-0045,Sim,Originality; Democracy; Corporate governance; Conceptual framework; Government (linguistics),Originality; Democracy; Corporate governance,"""Design Science Research"" ""public administration""",https://openalex.org/W3130539964
Bridging Citizens and Public Sector Employees through an Open Employee-driven Innovation Process: A Design Science Research Study,Stephan Leible; Constantin von Brackel-Schmidt,2025,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,0,https://doi.org/10.24251/hicss.2025.058,https://doi.org/10.24251/hicss.2025.058,Sim,Bridging (networking); Public sector; Process (computing); Business; Open innovation,Bridging (networking); Public sector; Process (computing),"""Design Science Research"" ""public administration""",https://openalex.org/W4407207242
Towards an Inclusive Digital Society: Digital Accessibility Framework for Visually Impaired Citizens in Swiss Public Administration,Sabina Werren; Hermann Grieder; Christopher Scherb,2025,ArXiv.org,0,https://doi.org/10.48550/arxiv.2503.09824,https://doi.org/10.48550/arxiv.2503.09824,Sim,Web accessibility; Visually impaired; Legislation; Digital inclusion; Universal design,Web accessibility; Visually impaired; Legislation,"""Design Science Research"" ""public administration""",https://openalex.org/W4416033060
Workshop-based E-participation: Guidelines and Requirements for Informed Design.,Gerrit C. Küstermann; Eva Bittner; Navid Tavanapour,2019,Journal of the Association for Information Systems,0,,,Não,Computer science; Engineering management; Software engineering; Knowledge management; Management science,Computer science; Engineering management; Software engineering,"""Design Science Research"" ""public administration""",https://openalex.org/W2966927960
Exploring the economic value of open government data,Fatemeh Ahmadi Zeleti; Adegboyega Ojo; Edward Curry,2016,Government Information Quarterly,179,https://doi.org/10.1016/j.giq.2016.01.008,https://doi.org/10.1016/j.giq.2016.01.008,Sim,Explication; Open data; Business model; Value capture; Value (mathematics),Explication; Open data; Business model,"""Design Science Research"" ""public administration""",https://openalex.org/W2280685127
Design and Pilot Implementation of a Management Model for the Information and Communication Technology (ICT) Infrastructure and Platform Management (IPM) Practice in Municipal Public Administration,Moisés de Sousa Galian; José Eduardo Santana; Felipe Dias Abrahão; Vanessa Tavares de Oliveira Barros; Rodolfo Miranda de Barros,2026,Journal on Interactive Systems,0,https://doi.org/10.5753/jis.2026.7054,https://doi.org/10.5753/jis.2026.7054,Sim,Process (computing); Asset (computer security); Asset management; Information technology; Grounded theory,Process management; Process (computing); Knowledge management,"""Design Science Research"" ""public administration""",https://openalex.org/W7128598956
ReflectAI: Design and Evaluation of an AI Coach to Support Public Servants’ Self-Reflection,Hans-Henning Näscher; Jan Schaffner; Michael Koddebusch,2025,Lecture notes in computer science,0,https://doi.org/10.1007/978-3-032-02515-9_7,https://doi.org/10.1007/978-3-032-02515-9_7,Não,Reflection (computer programming); Computer science; Operations research; Human–computer interaction; Engineering,Reflection (computer programming); Computer science; Operations research,"""Design Science Research"" ""public administration""",https://openalex.org/W4413449446
“Design and evaluation of public chatbots for computer crime awareness: A scoping review”,Luís Pimentel; Maria do Rosário Matos Bernardo; Tânia Rocha,2026,Universal Access in the Information Society,0,https://doi.org/10.1007/s10209-025-01307-2,https://doi.org/10.1007/s10209-025-01307-2,Sim,Chatbot; Service (business); Key (lock); Cloud computing; Public service,Chatbot; Computer science; Service (business),"""Design Science Research"" ""public administration""",https://openalex.org/W7125183680
Design principles for creating digital transparency in government,Ricardo Matheus; Marijn Janssen; Tomasz Janowski,2020,Government Information Quarterly,129,https://doi.org/10.1016/j.giq.2020.101550,https://doi.org/10.1016/j.giq.2020.101550,Sim,Transparency (behavior); Publication; Open government; Government (linguistics); Computer science,Transparency (behavior); Publication; Open government,"""Design Science Research"" ""public administration""",https://openalex.org/W3110972202
Comparative Analysis of Methodologies for Domain Ontology Development: A Systematic Review,Abdul Sattar; Ely Salwana; Mohammad Nazir; Mazida Ahmad; Ahmad Kamil,2020,International Journal of Advanced Computer Science and Applications,41,https://doi.org/10.14569/ijacsa.2020.0110515,https://doi.org/10.14569/ijacsa.2020.0110515,Sim,Ontology; Computer science; Domain (mathematical analysis); Interoperability; Process ontology,Ontology; Computer science; Domain (mathematical analysis),"""Design Science Research"" ""public administration""",https://openalex.org/W3033289294
Tailoring open government data portals for lay citizens: A gamification theory approach,Anthony Simonofski; Anneke Zuiderwijk; Antoine Clarinval; Wafa Hammedi,2022,International Journal of Information Management,47,https://doi.org/10.1016/j.ijinfomgt.2022.102511,https://doi.org/10.1016/j.ijinfomgt.2022.102511,Sim,Transparency (behavior); Interoperability; Knowledge management; Open government; Design science research,Transparency (behavior); Interoperability; Knowledge management,"""Design Science Research"" ""public administration""",https://openalex.org/W4221032108
Developing a Business Process Modeling Language for the Banking Sector – A Design Science Approach,Jörg Becker; Burkhard Weiß; Axel Winkelmann,2009,Journal of the Association for Information Systems,19,,,Sim,Computer science; Business process modeling; Artifact-centric business process model; Process (computing); Business process,Computer science; Business process modeling; Artifact-centric business process model,"""Design Science Research"" ""public administration""",https://openalex.org/W70966155
